loan_id,loan_type,current_balance,credit_limit,EAD
83,revolving,5114.48,12172.95,8643.72
84,term,1045.19,,1045.19
85,term,4547.75,,4547.75
86,revolving,13833.84,22038.69,17936.26
87,term,9444.26,,9444.26
88,term,5035.0,,5035.0
89,term,12766.74,,12766.74
90,revolving,616.89,1546.17,1081.53
91,term,408.44,,408.44
92,term,4214.12,,4214.12
93,term,11505.12,,11505.12
94,term,13824.74,,13824.74
95,term,2198.54,,2198.54
96,term,3269.11,,3269.11
97,revolving,5128.84,11122.12,8125.48
98,term,5229.84,,5229.84
99,term,8972.5,,8972.5
100,term,13135.77,,13135.77
101,term,8325.41,,8325.41
102,term,9797.72,,9797.72
103,term,614.73,,614.73
104,revolving,2518.92,4802.58,3660.75
105,term,13535.62,,13535.62
106,term,6308.21,,6308.21
107,term,5164.65,,5164.65
108,term,1624.6,,1624.6
109,revolving,10516.16,24226.19,17371.18
110,term,2630.37,,2630.37
111,revolving,7872.11,19533.59,13702.85
112,revolving,6326.92,15853.67,11090.3
113,term,21600.61,,21600.61
114,revolving,6033.59,10432.66,8233.12
115,term,9073.68,,9073.68
116,term,1785.19,,1785.19
117,term,15302.1,,15302.1
118,term,11152.2,,11152.2
119,term,8938.63,,8938.63
120,term,25128.78,,25128.78
121,revolving,6192.42,18498.69,12345.56
122,term,6290.61,,6290.61
123,revolving,6183.91,14090.3,10137.1
124,revolving,36958.41,106106.12,71532.26
125,term,600.5,,600.5
126,term,985.15,,985.15
127,term,7333.0,,7333.0
128,revolving,11792.82,33736.42,22764.62
129,term,15628.46,,15628.46
130,term,5424.29,,5424.29
131,term,3257.52,,3257.52
132,revolving,2808.62,4958.62,3883.62
133,term,11018.93,,11018.93
134,revolving,8328.32,18681.05,13504.68
135,term,1421.2,,1421.2
136,revolving,5394.59,11310.07,8352.33
137,revolving,7120.61,16037.74,11579.18
138,term,5799.93,,5799.93
139,term,20624.49,,20624.49
140,term,21085.45,,21085.45
141,revolving,8258.57,16088.28,12173.42
142,revolving,338.78,584.23,461.5
143,revolving,7122.95,12903.95,10013.45
144,term,881.19,,881.19
145,term,3687.96,,3687.96
146,term,4171.19,,4171.19
147,term,6023.45,,6023.45
148,term,5624.96,,5624.96
149,term,10277.1,,10277.1
150,revolving,4490.28,12742.43,8616.36
151,revolving,11941.58,32908.64,22425.11
152,term,8649.78,,8649.78
153,term,6534.2,,6534.2
154,revolving,11780.07,29862.37,20821.22
155,term,10605.77,,10605.77
156,term,10575.68,,10575.68
157,term,1607.64,,1607.64
158,term,19287.94,,19287.94
159,term,12367.84,,12367.84
160,term,4475.87,,4475.87
161,term,5703.4,,5703.4
162,term,11839.02,,11839.02
163,term,5526.23,,5526.23
164,term,8243.29,,8243.29
165,term,3431.76,,3431.76
166,revolving,518.66,839.8,679.23
167,term,8090.08,,8090.08
168,term,749.07,,749.07
169,term,22852.12,,22852.12
170,revolving,29742.16,85828.66,57785.41
171,term,12621.26,,12621.26
172,revolving,1975.6,3325.37,2650.48
173,revolving,2956.93,7471.97,5214.45
174,revolving,4129.27,7522.75,5826.01
175,revolving,1785.59,4076.03,2930.81
176,revolving,8638.17,23878.53,16258.35
177,revolving,15447.29,32047.33,23747.31
178,term,5206.88,,5206.88
179,term,23059.6,,23059.6
180,revolving,4894.94,11417.93,8156.44
181,term,562.51,,562.51
182,revolving,16785.78,44230.76,30508.27
183,term,9656.72,,9656.72
184,term,15440.02,,15440.02
185,revolving,1635.22,2755.41,2195.32
186,term,9725.11,,9725.11
187,revolving,5902.34,16515.6,11208.97
188,term,4056.73,,4056.73
189,revolving,20408.53,47056.88,33732.7
190,term,7701.23,,7701.23
191,term,16705.63,,16705.63
192,term,9370.32,,9370.32
193,term,4143.64,,4143.64
194,revolving,25813.5,58750.98,42282.24
195,term,2553.21,,2553.21
196,term,12656.75,,12656.75
197,revolving,8978.86,22712.02,15845.44
198,revolving,25568.61,51953.81,38761.21
199,revolving,10787.8,28854.85,19821.32
200,revolving,3799.54,11222.52,7511.03
201,term,3173.0,,3173.0
202,term,12080.12,,12080.12
203,revolving,720.44,1426.57,1073.51
204,term,17973.55,,17973.55
205,term,11649.57,,11649.57
206,term,42162.53,,42162.53
207,term,7200.91,,7200.91
208,revolving,3481.96,9695.5,6588.73
209,term,12788.39,,12788.39
210,term,2360.76,,2360.76
211,term,2905.94,,2905.94
212,revolving,13627.29,37371.72,25499.5
213,term,1413.82,,1413.82
214,term,1193.41,,1193.41
215,term,5947.92,,5947.92
216,revolving,22497.63,39422.32,30959.98
217,term,1436.71,,1436.71
218,term,18530.47,,18530.47
219,term,3903.79,,3903.79
220,term,7036.14,,7036.14
221,revolving,7353.39,16349.13,11851.26
222,term,2270.35,,2270.35
223,term,543.81,,543.81
224,term,2993.7,,2993.7
225,revolving,13700.51,23268.89,18484.7
226,revolving,1145.97,2364.09,1755.03
227,term,11510.54,,11510.54
228,term,11547.62,,11547.62
229,term,8552.65,,8552.65
230,term,10598.08,,10598.08
231,term,2744.21,,2744.21
232,term,12186.68,,12186.68
233,term,534.23,,534.23
234,term,35969.12,,35969.12
235,term,15818.16,,15818.16
236,revolving,811.04,1918.77,1364.9
237,revolving,2561.23,4651.84,3606.54
238,revolving,14144.68,40973.03,27558.86
239,term,2135.84,,2135.84
240,term,9290.22,,9290.22
241,revolving,3840.16,8013.23,5926.7
242,term,1195.63,,1195.63
243,revolving,16470.92,46424.96,31447.94
244,term,4154.11,,4154.11
245,revolving,14362.3,27831.04,21096.67
246,term,1459.88,,1459.88
247,term,16174.03,,16174.03
248,revolving,694.62,2034.05,1364.34
249,revolving,5227.73,9130.3,7179.02
250,term,4801.21,,4801.21
251,term,19675.32,,19675.32
252,revolving,7561.22,12182.95,9872.09
253,term,9198.73,,9198.73
254,revolving,1929.98,4779.95,3354.96
255,term,7836.4,,7836.4
256,revolving,9260.13,14726.01,11993.07
257,term,4556.72,,4556.72
258,revolving,12477.76,28891.21,20684.48
259,term,17271.82,,17271.82
260,revolving,5081.89,9551.74,7316.82
261,term,30179.31,,30179.31
262,term,7710.33,,7710.33
263,revolving,1127.46,1710.83,1419.14
264,term,3676.01,,3676.01
265,revolving,19511.91,52137.3,35824.61
266,term,15422.48,,15422.48
267,term,2774.29,,2774.29
268,term,1974.67,,1974.67
269,term,1974.53,,1974.53
270,term,2621.2,,2621.2
271,term,5324.74,,5324.74
272,term,2819.13,,2819.13
273,term,1092.69,,1092.69
274,term,18519.14,,18519.14
275,revolving,11677.96,32061.75,21869.86
276,term,2612.87,,2612.87
277,term,239.99,,239.99
278,term,3507.01,,3507.01
279,term,21958.16,,21958.16
280,revolving,12756.98,32657.05,22707.02
281,term,12879.05,,12879.05
282,term,19448.45,,19448.45
283,term,1592.94,,1592.94
284,term,5526.42,,5526.42
285,term,18983.71,,18983.71
286,term,5399.55,,5399.55
287,term,1488.26,,1488.26
288,term,1253.72,,1253.72
289,term,313.88,,313.88
290,revolving,666.64,1097.73,882.18
291,term,20833.58,,20833.58
292,term,4274.0,,4274.0
293,term,4392.4,,4392.4
294,revolving,744.59,2127.59,1436.09
295,term,16474.2,,16474.2
296,revolving,3347.62,8086.88,5717.25
297,term,12392.65,,12392.65
298,term,17631.51,,17631.51
299,revolving,12236.05,22693.54,17464.79
300,term,26417.38,,26417.38
301,revolving,4428.2,11044.24,7736.22
302,revolving,5348.35,9626.78,7487.56
303,term,2664.6,,2664.6
304,term,5597.0,,5597.0
305,term,7070.9,,7070.9
306,revolving,9618.79,28271.47,18945.13
307,revolving,21586.51,52450.35,37018.43
308,term,8733.72,,8733.72
309,term,1224.97,,1224.97
310,term,4740.96,,4740.96
311,revolving,1939.51,5086.25,3512.88
312,revolving,9580.22,27508.96,18544.59
313,term,10777.65,,10777.65
314,term,3758.51,,3758.51
315,revolving,24791.01,56443.55,40617.28
316,revolving,2897.76,5802.25,4350.0
317,term,1188.18,,1188.18
318,term,1121.28,,1121.28
319,term,5856.06,,5856.06
320,revolving,1653.59,3148.11,2400.85
321,term,3263.1,,3263.1
322,term,7087.71,,7087.71
323,revolving,7928.59,23157.17,15542.88
324,revolving,1187.44,2790.49,1988.96
325,term,14707.47,,14707.47
326,term,15062.51,,15062.51
327,revolving,10492.2,25680.51,18086.36
328,term,11297.69,,11297.69
329,revolving,3300.72,7061.73,5181.22
330,term,3161.66,,3161.66
331,term,3781.2,,3781.2
332,revolving,5366.8,15711.38,10539.09
333,revolving,3112.14,8769.75,5940.94
334,term,905.96,,905.96
335,revolving,842.5,1892.46,1367.48
336,revolving,4169.79,8769.6,6469.7
337,term,7835.93,,7835.93
338,revolving,10331.97,15984.03,13158.0
339,term,2094.16,,2094.16
340,term,6622.09,,6622.09
341,term,867.41,,867.41
342,term,12970.44,,12970.44
343,term,7687.84,,7687.84
344,revolving,3280.57,6310.84,4795.7
345,revolving,9399.67,17519.27,13459.47
346,term,5101.96,,5101.96
347,term,429.92,,429.92
348,term,6402.5,,6402.5
349,term,21139.65,,21139.65
350,term,839.59,,839.59
351,term,3524.67,,3524.67
352,term,10992.94,,10992.94
353,revolving,1438.38,3295.21,2366.8
354,revolving,27499.52,71173.97,49336.74
355,term,1077.81,,1077.81
356,term,10857.51,,10857.51
357,revolving,10879.16,19622.28,15250.72
358,term,3753.07,,3753.07
359,revolving,6291.53,15258.36,10774.94
360,term,1612.34,,1612.34
361,revolving,14688.4,26885.02,20786.71
362,term,10201.69,,10201.69
363,term,7605.15,,7605.15
364,term,30420.9,,30420.9
365,revolving,14644.12,39815.81,27229.96
366,term,7352.37,,7352.37
367,term,1405.62,,1405.62
368,term,1624.36,,1624.36
369,term,7230.71,,7230.71
370,term,1951.07,,1951.07
371,revolving,31254.61,63589.44,47422.02
372,revolving,289.87,812.8,551.34
373,term,12392.31,,12392.31
374,revolving,8285.72,19657.3,13971.51
375,term,13469.02,,13469.02
376,revolving,12447.21,21444.1,16945.66
377,term,2252.19,,2252.19
378,term,5997.45,,5997.45
379,revolving,8913.59,23294.02,16103.8
380,term,2695.83,,2695.83
381,term,7822.64,,7822.64
382,term,4351.97,,4351.97
383,revolving,6508.73,11297.74,8903.24
384,term,2021.93,,2021.93
385,term,21380.23,,21380.23
386,term,2428.97,,2428.97
387,term,1047.48,,1047.48
388,term,7388.3,,7388.3
389,revolving,4282.3,10701.51,7491.91
390,term,2342.67,,2342.67
391,term,11076.67,,11076.67
392,term,5383.58,,5383.58
393,revolving,27529.54,47795.24,37662.39
394,term,4515.77,,4515.77
395,term,31974.48,,31974.48
396,term,1446.61,,1446.61
397,revolving,9329.91,25921.25,17625.58
398,term,6303.09,,6303.09
399,term,9690.42,,9690.42
400,revolving,4008.8,9398.01,6703.41
401,revolving,5104.64,12724.69,8914.67
402,term,4985.9,,4985.9
403,term,14980.0,,14980.0
404,term,3201.2,,3201.2
405,revolving,966.63,1594.5,1280.56
406,term,12939.6,,12939.6
407,term,2607.09,,2607.09
408,revolving,9045.49,22084.32,15564.9
409,term,9660.54,,9660.54
410,term,4991.03,,4991.03
411,revolving,2846.49,8035.95,5441.22
412,revolving,10842.61,21985.85,16414.23
413,term,152.88,,152.88
414,term,2126.14,,2126.14
415,term,3152.24,,3152.24
416,term,17510.56,,17510.56
417,term,13717.64,,13717.64
418,term,11556.67,,11556.67
419,term,2537.42,,2537.42
420,term,3512.34,,3512.34
421,term,2565.36,,2565.36
422,term,13773.19,,13773.19
423,term,24816.67,,24816.67
424,term,1930.91,,1930.91
425,term,1598.19,,1598.19
426,term,4725.76,,4725.76
427,term,7135.72,,7135.72
428,revolving,26176.92,72268.67,49222.8
429,term,3034.63,,3034.63
430,term,7910.79,,7910.79
431,term,5591.66,,5591.66
432,revolving,11543.66,26653.24,19098.45
433,term,9209.11,,9209.11
434,term,2214.94,,2214.94
435,term,4590.74,,4590.74
436,term,275.1,,275.1
437,term,9800.46,,9800.46
438,term,6568.04,,6568.04
439,term,855.52,,855.52
440,revolving,24060.0,58543.58,41301.79
441,revolving,1199.52,2531.91,1865.72
442,term,1952.03,,1952.03
443,term,8228.09,,8228.09
444,revolving,3467.43,6637.38,5052.4
445,term,7021.53,,7021.53
446,revolving,3406.82,8305.3,5856.06
447,revolving,4938.45,12270.39,8604.42
448,term,595.34,,595.34
449,term,10051.23,,10051.23
450,term,4235.46,,4235.46
451,term,3343.17,,3343.17
452,revolving,2704.25,7579.96,5142.1
453,term,7079.03,,7079.03
454,term,6336.71,,6336.71
455,term,1148.54,,1148.54
456,term,4644.84,,4644.84
457,term,12474.05,,12474.05
458,term,769.78,,769.78
459,term,3064.24,,3064.24
460,revolving,7780.01,16590.31,12185.16
461,term,4437.81,,4437.81
462,term,2284.19,,2284.19
463,term,46519.91,,46519.91
464,revolving,3091.45,7664.13,5377.79
465,term,2192.86,,2192.86
466,term,23421.05,,23421.05
467,term,1992.74,,1992.74
468,term,1561.0,,1561.0
469,revolving,18165.55,37657.2,27911.38
470,term,7700.15,,7700.15
471,term,1338.63,,1338.63
472,revolving,9366.33,24239.48,16802.9
473,revolving,622.54,1271.18,946.86
474,term,11771.03,,11771.03
475,term,11961.0,,11961.0
476,revolving,13821.27,30294.47,22057.87
477,revolving,5512.99,16369.22,10941.1
478,revolving,5071.87,13412.02,9241.94
479,term,2084.4,,2084.4
480,term,13153.19,,13153.19
481,term,4266.22,,4266.22
482,term,1020.47,,1020.47
483,term,1395.04,,1395.04
484,term,961.4,,961.4
485,term,3074.17,,3074.17
486,term,3668.34,,3668.34
487,term,25584.88,,25584.88
488,term,5185.05,,5185.05
489,term,7997.17,,7997.17
490,revolving,2669.5,5082.66,3876.08
491,revolving,14789.37,40108.76,27449.06
492,term,5317.96,,5317.96
493,revolving,4078.56,11251.56,7665.06
494,term,19618.64,,19618.64
495,revolving,1833.8,4449.56,3141.68
496,term,449.0,,449.0
497,term,3714.95,,3714.95
498,term,4056.39,,4056.39
499,term,3099.63,,3099.63
500,term,7881.74,,7881.74
501,revolving,16110.89,35795.36,25953.12
502,term,989.16,,989.16
503,term,5010.48,,5010.48
504,revolving,22739.24,66761.33,44750.28
505,term,9740.37,,9740.37
506,term,36433.19,,36433.19
507,term,2703.13,,2703.13
508,revolving,4263.58,7406.03,5834.8
509,term,911.91,,911.91
510,revolving,8920.92,14764.04,11842.48
511,term,4035.96,,4035.96
512,term,15618.41,,15618.41
513,term,4016.15,,4016.15
514,term,3528.82,,3528.82
515,revolving,5676.46,14427.27,10051.87
516,term,2954.2,,2954.2
517,revolving,5773.38,17316.26,11544.82
518,term,12307.5,,12307.5
519,term,4272.45,,4272.45
520,term,9131.42,,9131.42
521,revolving,4179.84,9494.64,6837.24
522,term,1967.91,,1967.91
523,term,5903.78,,5903.78
524,term,30345.99,,30345.99
525,term,11894.89,,11894.89
526,term,9730.53,,9730.53
527,term,1882.61,,1882.61
528,term,18979.15,,18979.15
529,revolving,1238.47,3551.79,2395.13
530,revolving,9197.91,22328.03,15762.97
531,term,4731.65,,4731.65
532,revolving,25625.64,70957.63,48291.64
533,term,11090.37,,11090.37
534,revolving,14418.44,30530.72,22474.58
535,term,10119.22,,10119.22
536,term,163.9,,163.9
537,revolving,21770.37,64451.83,43111.1
538,revolving,12562.77,33286.7,22924.74
539,term,7850.53,,7850.53
540,revolving,13356.83,22912.98,18134.9
541,term,5630.47,,5630.47
542,revolving,10250.72,23072.76,16661.74
543,term,10755.07,,10755.07
544,term,3765.42,,3765.42
545,revolving,7697.31,16838.7,12268.0
546,term,1308.52,,1308.52
547,term,2850.99,,2850.99
548,term,6118.49,,6118.49
549,revolving,20389.18,50469.95,35429.56
550,term,5726.28,,5726.28
551,term,5037.11,,5037.11
552,revolving,6196.93,17076.93,11636.93
553,revolving,13109.95,35861.29,24485.62
554,term,930.51,,930.51
555,revolving,11358.29,30873.14,21115.72
556,term,5896.62,,5896.62
557,revolving,413.45,1094.44,753.94
558,term,909.95,,909.95
559,revolving,1246.73,2107.0,1676.86
560,term,11738.41,,11738.41
561,term,4505.9,,4505.9
562,term,13029.6,,13029.6
563,term,931.57,,931.57
564,term,5054.83,,5054.83
565,term,1183.17,,1183.17
566,revolving,16652.09,34767.28,25709.68
567,revolving,13739.87,22258.55,17999.21
568,term,3867.34,,3867.34
569,term,10473.74,,10473.74
570,revolving,7318.82,14829.69,11074.26
571,term,7323.19,,7323.19
572,revolving,8088.57,23307.56,15698.06
573,revolving,100.0,299.91,199.96
574,revolving,3285.26,7395.03,5340.14
575,term,26565.12,,26565.12
576,term,20926.37,,20926.37
577,revolving,13237.87,28566.3,20902.08
578,term,5003.53,,5003.53
579,revolving,13803.99,30190.21,21997.1
580,term,3356.04,,3356.04
581,revolving,9367.73,18965.53,14166.63
582,term,2559.35,,2559.35
583,term,5596.31,,5596.31
584,revolving,23362.69,35432.23,29397.46
585,revolving,24074.01,50545.44,37309.72
586,term,6799.15,,6799.15
587,term,4658.16,,4658.16
588,term,19158.99,,19158.99
589,revolving,730.23,1483.32,1106.78
590,term,10276.36,,10276.36
591,revolving,245.71,688.48,467.1
592,revolving,148.42,358.79,253.6
593,term,3300.62,,3300.62
594,term,40855.37,,40855.37
595,revolving,3039.9,7701.81,5370.86
596,term,20349.73,,20349.73
597,term,3293.09,,3293.09
598,term,4535.84,,4535.84
599,term,3085.0,,3085.0
600,revolving,9567.62,17252.86,13410.24
601,term,1973.28,,1973.28
602,term,5226.25,,5226.25
603,term,11248.76,,11248.76
604,revolving,19250.13,41255.78,30252.96
605,term,2641.04,,2641.04
606,term,10473.39,,10473.39
607,term,3275.29,,3275.29
608,term,16886.72,,16886.72
609,term,1170.32,,1170.32
610,revolving,2979.87,4491.15,3735.51
611,revolving,4199.92,10603.16,7401.54
612,term,26921.96,,26921.96
613,term,5857.76,,5857.76
614,term,3979.42,,3979.42
615,revolving,13337.08,38216.48,25776.78
616,term,1578.98,,1578.98
617,term,15237.85,,15237.85
618,revolving,1376.26,3911.46,2643.86
619,revolving,10456.76,16458.59,13457.68
620,term,1247.85,,1247.85
621,term,5859.87,,5859.87
622,revolving,15295.48,32211.14,23753.31
623,term,2063.01,,2063.01
624,term,19104.92,,19104.92
625,revolving,6925.66,10547.67,8736.67
626,term,7529.8,,7529.8
627,term,4181.94,,4181.94
628,revolving,18040.44,41824.54,29932.49
629,term,857.25,,857.25
630,term,11071.16,,11071.16
631,revolving,9026.4,16101.08,12563.74
632,term,2580.98,,2580.98
633,term,638.54,,638.54
634,revolving,1128.58,3085.14,2106.86
635,term,693.31,,693.31
636,revolving,11079.82,17203.1,14141.46
637,term,15110.83,,15110.83
638,term,5854.61,,5854.61
639,revolving,5969.35,10639.25,8304.3
640,revolving,1419.99,2775.01,2097.5
641,revolving,9552.54,16602.98,13077.76
642,term,1803.83,,1803.83
643,term,1044.09,,1044.09
644,term,8205.85,,8205.85
645,term,390.72,,390.72
646,term,7469.58,,7469.58
647,revolving,1477.82,2491.45,1984.63
648,term,4310.25,,4310.25
649,term,960.9,,960.9
650,term,15602.79,,15602.79
651,term,8403.01,,8403.01
652,revolving,1459.91,2777.77,2118.84
653,revolving,1371.95,2153.35,1762.65
654,term,17973.18,,17973.18
655,revolving,3397.52,8990.12,6193.82
656,revolving,2300.24,4430.01,3365.12
657,revolving,4111.49,10447.86,7279.68
658,revolving,8456.78,19465.99,13961.39
659,term,11191.93,,11191.93
660,term,2509.35,,2509.35
661,term,35441.75,,35441.75
662,term,40423.39,,40423.39
663,term,26426.16,,26426.16
664,revolving,2860.52,8301.29,5580.91
665,revolving,5286.04,11785.77,8535.91
666,revolving,970.59,2063.47,1517.03
667,term,4513.08,,4513.08
668,revolving,15054.72,28071.87,21563.3
669,revolving,10945.3,29211.2,20078.25
670,term,2035.74,,2035.74
671,term,14991.46,,14991.46
672,term,15979.32,,15979.32
673,term,4270.55,,4270.55
674,term,7482.69,,7482.69
675,term,783.02,,783.02
676,revolving,15104.48,41966.66,28535.57
677,term,5974.16,,5974.16
678,revolving,25701.78,39852.32,32777.05
679,term,6828.41,,6828.41
680,revolving,26750.55,53777.72,40264.14
681,revolving,10832.36,31918.39,21375.38
682,term,424.36,,424.36
683,term,3901.22,,3901.22
684,term,3896.72,,3896.72
685,revolving,3727.05,6888.21,5307.63
686,term,5562.41,,5562.41
687,term,846.04,,846.04
688,term,4983.32,,4983.32
689,term,2643.69,,2643.69
690,term,435.42,,435.42
691,term,1181.38,,1181.38
692,revolving,6027.83,10755.65,8391.74
693,revolving,4010.87,11785.92,7898.4
694,term,4154.87,,4154.87
695,revolving,2773.48,5098.86,3936.17
696,term,17957.47,,17957.47
697,term,460.47,,460.47
698,term,17704.39,,17704.39
699,term,8264.56,,8264.56
700,revolving,1336.29,3812.68,2574.48
701,term,16400.92,,16400.92
702,revolving,9507.86,18444.83,13976.34
703,revolving,3564.08,6068.06,4816.07
704,term,1882.44,,1882.44
705,term,1896.45,,1896.45
706,revolving,5733.52,10926.62,8330.07
707,term,13824.52,,13824.52
708,term,1851.04,,1851.04
709,term,12096.37,,12096.37
710,term,12118.75,,12118.75
711,term,2781.55,,2781.55
712,term,2759.31,,2759.31
713,revolving,25151.99,39482.6,32317.3
714,revolving,13328.78,37890.54,25609.66
715,term,1395.5,,1395.5
716,term,9129.63,,9129.63
717,term,1114.85,,1114.85
718,term,25386.66,,25386.66
719,term,9595.18,,9595.18
720,term,1937.13,,1937.13
721,revolving,10836.82,28754.3,19795.56
722,revolving,14522.76,33400.41,23961.58
723,term,14272.98,,14272.98
724,term,961.09,,961.09
725,term,7186.02,,7186.02
726,revolving,299.69,481.21,390.45
727,term,10132.21,,10132.21
728,term,4094.92,,4094.92
729,term,12566.66,,12566.66
730,term,1032.0,,1032.0
731,term,17795.12,,17795.12
732,revolving,17636.57,40351.28,28993.92
733,term,63432.68,,63432.68
734,term,5238.71,,5238.71
735,term,483.28,,483.28
736,revolving,9709.91,27566.31,18638.11
737,revolving,12905.18,23525.3,18215.24
738,term,12936.8,,12936.8
739,term,26694.39,,26694.39
740,term,25405.76,,25405.76
741,revolving,19872.84,35374.81,27623.82
742,term,649.48,,649.48
743,term,19370.94,,19370.94
744,term,5955.68,,5955.68
745,revolving,16781.92,30075.34,23428.63
746,revolving,4925.5,14577.9,9751.7
747,term,6545.37,,6545.37
748,term,7611.57,,7611.57
749,term,3614.09,,3614.09
750,term,27284.39,,27284.39
751,term,969.09,,969.09
752,term,10572.8,,10572.8
753,term,4999.07,,4999.07
754,revolving,5322.74,15173.41,10248.08
755,revolving,6494.37,19326.09,12910.23
756,term,11425.69,,11425.69
757,revolving,13598.04,38726.29,26162.16
758,revolving,6245.63,11688.63,8967.13
759,term,16653.0,,16653.0
760,revolving,24122.69,67492.14,45807.41
761,term,1904.85,,1904.85
762,term,13335.17,,13335.17
763,term,1934.05,,1934.05
764,revolving,1060.12,2806.56,1933.34
765,term,1268.94,,1268.94
766,term,4832.93,,4832.93
767,revolving,3855.22,6086.15,4970.68
768,revolving,6297.41,17054.25,11675.83
769,term,7881.24,,7881.24
770,term,3229.54,,3229.54
771,term,7584.61,,7584.61
772,term,6051.53,,6051.53
773,term,10005.7,,10005.7
774,term,19446.86,,19446.86
775,term,9324.7,,9324.7
776,revolving,4928.86,13880.71,9404.78
777,term,948.14,,948.14
778,revolving,5826.92,14209.12,10018.02
779,term,19404.54,,19404.54
780,revolving,2480.34,4069.08,3274.71
781,term,7656.68,,7656.68
782,term,5591.01,,5591.01
783,term,8311.73,,8311.73
784,revolving,7219.88,18745.64,12982.76
785,term,15440.94,,15440.94
786,term,9824.76,,9824.76
787,term,5633.37,,5633.37
788,term,9131.01,,9131.01
789,term,1837.22,,1837.22
790,revolving,33067.05,60900.41,46983.73
791,term,1978.26,,1978.26
792,term,5657.89,,5657.89
793,revolving,10208.46,24167.23,17187.84
794,term,1538.16,,1538.16
795,term,9994.57,,9994.57
796,term,1357.59,,1357.59
797,term,2487.3,,2487.3
798,term,3752.83,,3752.83
799,term,3093.92,,3093.92
800,revolving,1379.14,3897.56,2638.35
801,term,2166.32,,2166.32
802,term,1507.94,,1507.94
803,revolving,2174.04,5802.47,3988.26
804,revolving,6966.79,20643.89,13805.34
805,term,2081.74,,2081.74
806,term,1329.27,,1329.27
807,revolving,307.76,635.8,471.78
808,term,12339.37,,12339.37
809,term,12422.84,,12422.84
810,term,7856.39,,7856.39
811,term,1533.13,,1533.13
812,term,1303.63,,1303.63
813,revolving,3531.52,10056.63,6794.07
814,term,5493.51,,5493.51
815,term,20374.01,,20374.01
816,term,10852.39,,10852.39
817,term,3519.53,,3519.53
818,term,4445.58,,4445.58
819,term,451.48,,451.48
820,term,5109.9,,5109.9
821,term,5050.8,,5050.8
822,term,3456.3,,3456.3
823,revolving,8834.18,15663.26,12248.72
824,term,16244.76,,16244.76
825,term,2114.21,,2114.21
826,term,1332.42,,1332.42
827,term,6484.81,,6484.81
828,revolving,4394.65,11782.48,8088.56
829,term,5025.47,,5025.47
830,term,9035.56,,9035.56
831,term,44150.3,,44150.3
832,term,9108.02,,9108.02
833,term,10433.89,,10433.89
834,revolving,3283.05,7684.29,5483.67
