loan_id,loan_type,region,loan_purpose,origination_date,orig_credit_score,current_credit_score,original_balance,current_balance,credit_limit,interest_rate,days_past_due,watchlist_flag,default_flag,months_on_book,utilization,credit_score_change,stage
47,term,West,personal,2024-03-19,538,513,11250.23,9633.77,,11.93,53,0,0,9.6,,-25,Stage 2
48,term,East,personal,2022-10-26,623,605,13056.24,9341.98,,6.92,25,0,0,26.6,,-18,Stage 1
49,term,South,personal,2024-11-10,788,799,7479.16,7151.44,,4.02,3,0,0,1.7,,11,Stage 1
50,term,East,debt_consolidation,2022-01-16,661,651,18796.27,8958.18,,9.42,16,1,0,36.0,,-10,Stage 2
51,revolving,East,debt_consolidation,2024-07-22,726,696,23396.6,21763.02,41715.74,11.08,0,0,0,5.4,0.522,-30,Stage 2
52,revolving,West,auto,2023-06-17,552,510,18197.88,7939.99,22692.95,9.8,58,0,1,18.8,0.35,-42,Stage 2
53,revolving,North,home_improvement,2023-05-14,619,608,5719.36,3660.53,6602.83,12.47,23,0,0,19.9,0.554,-11,Stage 1
54,revolving,North,personal,2021-03-03,598,594,7966.95,796.69,1340.49,3.86,42,0,0,46.7,0.594,-4,Stage 2
55,term,East,personal,2022-06-12,667,664,14289.8,7009.38,,5.96,10,0,0,31.1,,-3,Stage 1
56,revolving,West,debt_consolidation,2023-05-12,825,829,28874.74,22806.7,45209.41,9.67,11,0,0,20.0,0.504,4,Stage 1
57,term,East,debt_consolidation,2021-05-30,707,701,12135.94,4390.55,,4.33,5,0,0,43.7,,-6,Stage 1
58,term,East,personal,2024-03-11,781,770,1838.8,1630.73,,6.73,1,0,0,9.9,,-11,Stage 1
59,term,South,home_improvement,2021-04-26,664,651,11169.01,4916.49,,7.42,8,1,1,44.9,,-13,Stage 2
60,term,West,auto,2023-04-04,761,760,13640.24,6112.59,,12.05,1,0,0,21.3,,-1,Stage 1
61,term,North,auto,2021-03-06,804,806,36772.56,3677.26,,12.92,7,0,0,46.6,,2,Stage 1
62,term,North,auto,2024-12-23,673,664,1816.8,1763.62,,11.17,15,0,0,0.3,,-9,Stage 1
63,revolving,North,auto,2021-11-06,647,629,23518.4,7292.41,12378.83,14.62,14,0,0,38.4,0.589,-18,Stage 1
64,term,East,home_improvement,2022-12-07,600,546,3914.22,2366.0,,13.2,40,0,1,25.2,,-54,Stage 2
65,term,West,home_improvement,2023-05-04,661,638,9546.65,4537.63,,11.37,9,0,0,20.3,,-23,Stage 1
66,term,South,home_improvement,2024-12-24,684,663,17778.77,17434.8,,11.28,12,0,0,0.3,,-21,Stage 1
67,term,North,debt_consolidation,2023-10-21,801,801,25657.51,15754.64,,7.24,2,0,0,14.6,,0,Stage 1
68,revolving,West,personal,2024-03-30,602,580,8030.92,6038.03,15486.14,4.82,45,0,0,9.2,0.39,-22,Stage 2
69,term,North,home_improvement,2021-11-02,683,673,9809.07,980.91,,6.86,7,0,0,38.5,,-10,Stage 1
70,revolving,South,auto,2024-10-16,571,540,12013.74,11498.01,25614.53,11.52,33,0,0,2.6,0.449,-31,Stage 2
71,revolving,West,home_improvement,2024-07-25,654,635,7655.93,7021.4,12848.88,8.06,19,0,0,5.3,0.546,-19,Stage 1
72,term,East,personal,2024-08-12,698,662,34403.34,31008.96,,10.83,2,0,0,4.7,,-36,Stage 2
73,term,East,debt_consolidation,2023-05-23,710,710,16017.89,9813.41,,3.51,0,0,0,19.6,,0,Stage 1
74,revolving,North,auto,2021-06-18,715,707,22170.76,2217.08,6557.54,10.58,2,0,0,43.1,0.338,-8,Stage 1
75,revolving,North,debt_consolidation,2023-10-28,703,690,12126.7,9231.58,18606.56,6.43,5,0,0,14.4,0.496,-13,Stage 1
76,revolving,West,home_improvement,2024-03-01,714,701,12048.42,9035.79,18526.66,6.81,1,0,0,10.2,0.488,-13,Stage 1
77,revolving,South,auto,2022-08-11,682,653,27245.05,13596.95,27069.22,14.0,7,0,1,29.1,0.502,-29,Stage 1
78,term,North,auto,2023-02-01,617,614,13542.96,10283.92,,15.45,33,0,0,23.3,,-3,Stage 2
79,term,West,home_improvement,2021-12-13,568,532,19784.82,11380.45,,5.78,57,1,0,37.2,,-36,Stage 2
80,term,South,home_improvement,2023-08-13,647,612,10362.64,8098.27,,8.31,16,0,0,16.9,,-35,Stage 2
81,revolving,North,personal,2023-01-05,671,653,8207.24,4597.57,12879.81,8.63,12,0,0,24.2,0.357,-18,Stage 1
82,term,North,home_improvement,2024-06-30,755,751,15558.79,13284.67,,11.21,1,0,0,6.2,,-4,Stage 1
83,term,West,home_improvement,2022-02-14,673,669,6957.2,2683.28,,7.59,11,0,0,35.1,,-4,Stage 1
84,term,North,home_improvement,2022-06-27,668,650,3299.92,645.52,,6.58,21,1,0,30.6,,-18,Stage 2
85,term,East,auto,2021-12-21,703,689,10425.39,1042.54,,9.88,5,0,0,36.9,,-14,Stage 1
86,term,South,personal,2022-12-14,663,638,39768.34,11443.61,,9.24,15,0,1,25.0,,-25,Stage 1
87,revolving,South,auto,2024-10-23,728,705,19335.77,18861.68,47743.61,11.6,2,0,0,2.3,0.395,-23,Stage 1
88,term,East,home_improvement,2022-08-07,798,786,9155.31,6376.93,,6.95,5,0,0,29.3,,-12,Stage 1
89,revolving,West,personal,2022-05-26,811,819,19900.63,3975.91,10989.32,8.39,6,0,0,31.7,0.362,8,Stage 1
90,term,East,home_improvement,2022-06-17,685,675,29932.65,9078.81,,11.33,7,0,1,31.0,,-10,Stage 1
91,term,East,auto,2022-06-12,700,697,7563.43,3761.91,,8.82,3,0,0,31.1,,-3,Stage 1
92,revolving,South,auto,2023-08-05,774,770,19877.01,10221.52,16301.35,3.96,0,0,0,17.2,0.627,-4,Stage 1
93,revolving,West,home_improvement,2024-11-26,671,670,10218.91,10084.57,20702.29,13.87,9,0,0,1.2,0.487,-1,Stage 1
94,term,North,personal,2024-04-13,720,701,32195.87,27934.72,,8.75,3,0,0,8.8,,-19,Stage 1
95,revolving,East,auto,2023-04-04,611,583,9053.96,6099.72,17037.13,8.8,31,0,1,21.3,0.358,-28,Stage 2
96,term,East,home_improvement,2021-03-19,661,643,9961.94,4409.64,,16.58,7,0,0,46.1,,-18,Stage 1
97,term,West,debt_consolidation,2022-03-16,749,742,18414.69,5068.52,,15.34,1,0,0,34.1,,-7,Stage 1
98,term,East,home_improvement,2022-07-03,636,607,6722.19,4046.71,,11.85,20,0,0,30.4,,-29,Stage 1
99,term,West,home_improvement,2024-06-09,672,646,6361.44,5347.67,,5.74,9,0,0,6.9,,-26,Stage 1
100,term,North,personal,2022-02-04,585,534,31309.14,5066.41,,13.13,43,0,0,35.4,,-51,Stage 2
101,term,West,home_improvement,2024-05-21,800,817,27293.44,22595.04,,3.69,5,0,0,7.5,,17,Stage 1
102,term,North,debt_consolidation,2024-05-01,755,750,22676.15,18066.19,,9.41,2,0,0,8.2,,-5,Stage 1
103,term,West,home_improvement,2022-12-02,691,674,8044.04,1945.06,,7.61,7,0,0,25.4,,-17,Stage 1
104,term,East,debt_consolidation,2024-07-14,710,691,13935.68,11860.44,,6.9,2,0,0,5.7,,-19,Stage 1
105,revolving,North,auto,2021-05-06,703,692,15271.98,2222.53,3551.2,9.7,3,0,0,44.5,0.626,-11,Stage 1
106,term,East,home_improvement,2023-04-14,763,758,38178.59,25543.78,,10.84,0,0,0,20.9,,-5,Stage 1
107,term,North,personal,2024-11-06,648,646,13109.1,12757.55,,11.36,10,0,0,1.9,,-2,Stage 1
108,revolving,West,home_improvement,2022-06-28,723,709,7448.19,1328.25,3760.59,8.76,0,0,0,30.6,0.353,-14,Stage 1
109,term,West,debt_consolidation,2022-05-17,744,735,21313.56,3806.77,,8.37,0,0,0,32.0,,-9,Stage 1
110,term,West,debt_consolidation,2024-11-27,752,754,15524.63,15303.14,,11.56,1,0,0,1.2,,2,Stage 1
111,term,South,personal,2023-04-04,544,518,23278.84,8988.9,,11.64,58,0,1,21.3,,-26,Stage 2
112,term,South,debt_consolidation,2024-07-08,644,612,33969.15,29837.65,,9.41,7,0,0,5.9,,-32,Stage 2
113,revolving,North,home_improvement,2022-01-22,618,600,35351.6,19703.26,32248.7,6.4,31,0,0,35.8,0.611,-18,Stage 2
114,revolving,South,debt_consolidation,2022-02-16,688,686,8851.67,885.17,1468.36,3.93,5,1,0,35.0,0.603,-2,Stage 2
115,term,West,home_improvement,2024-10-01,559,542,10420.99,9834.79,,10.98,65,0,1,3.1,,-17,Stage 2
116,revolving,South,home_improvement,2024-01-23,557,513,1389.76,1079.05,2624.05,11.92,59,1,1,11.5,0.411,-44,Stage 2
117,revolving,South,debt_consolidation,2021-11-24,810,812,7351.87,735.19,1179.6,8.39,7,0,0,37.8,0.623,2,Stage 1
118,term,East,personal,2021-04-10,717,696,12862.23,2991.18,,10.12,1,0,0,45.4,,-21,Stage 1
119,revolving,North,auto,2022-04-06,687,682,31766.84,20287.53,32343.52,12.96,10,0,0,33.4,0.627,-5,Stage 1
120,term,North,personal,2024-08-31,701,691,12514.3,11318.21,,15.03,4,0,0,4.1,,-10,Stage 1
121,revolving,North,auto,2021-01-25,688,686,25670.24,4548.59,12861.49,7.81,6,0,0,47.9,0.354,-2,Stage 1
122,revolving,South,personal,2022-05-09,739,737,8416.61,2272.59,5153.13,8.74,1,0,0,32.3,0.441,-2,Stage 1
123,term,West,home_improvement,2021-12-19,642,613,5363.22,536.32,,10.36,14,0,0,37.0,,-29,Stage 1
124,term,East,home_improvement,2023-05-19,691,678,13648.98,10774.05,,5.36,3,0,0,19.8,,-13,Stage 1
125,term,North,debt_consolidation,2024-02-15,693,672,16885.9,12741.89,,3.0,6,0,0,10.7,,-21,Stage 1
126,term,South,auto,2021-07-18,617,583,7464.14,746.41,,5.0,31,1,0,42.1,,-34,Stage 2
127,revolving,West,auto,2024-07-26,756,746,4659.25,4406.09,8622.97,8.17,3,0,0,5.3,0.511,-10,Stage 1
128,revolving,East,debt_consolidation,2023-04-27,653,636,9184.66,6086.48,12469.23,6.83,23,0,0,20.5,0.488,-17,Stage 1
129,term,East,personal,2024-01-08,741,725,21169.29,15141.13,,6.55,3,0,0,12.0,,-16,Stage 1
130,term,North,debt_consolidation,2024-12-18,686,673,13617.73,13252.37,,9.15,8,1,0,0.5,,-13,Stage 2
131,term,North,personal,2024-10-09,778,763,6184.12,5770.35,,8.96,3,0,0,2.8,,-15,Stage 1
132,term,West,debt_consolidation,2022-06-10,617,575,6988.63,1190.65,,6.73,23,0,1,31.2,,-42,Stage 2
133,term,South,auto,2022-06-25,614,608,22881.14,3903.32,,4.16,18,0,0,30.7,,-6,Stage 1
134,term,West,auto,2022-04-22,625,599,11809.93,1783.07,,10.22,27,0,0,32.8,,-26,Stage 1
135,revolving,North,personal,2021-01-10,687,671,3603.95,745.09,1326.93,12.16,6,0,0,48.4,0.562,-16,Stage 1
136,term,West,auto,2024-07-07,772,766,29406.41,26820.08,,7.14,3,0,0,5.9,,-6,Stage 1
137,term,South,auto,2022-06-08,775,778,3839.98,1486.12,,7.85,8,0,0,31.3,,3,Stage 1
138,revolving,East,auto,2023-03-21,541,509,26652.88,14214.62,36082.16,11.44,65,0,0,21.7,0.394,-32,Stage 2
139,term,East,auto,2023-02-11,694,690,8601.49,6503.84,,12.15,3,0,0,23.0,,-4,Stage 1
140,revolving,East,home_improvement,2023-05-10,487,449,5869.73,2553.52,4680.54,7.63,99,0,1,20.1,0.546,-38,Stage 3
141,revolving,East,debt_consolidation,2023-10-27,727,718,15084.97,11293.76,25084.93,8.69,3,0,0,14.4,0.45,-9,Stage 1
142,term,North,debt_consolidation,2023-11-25,747,751,11243.34,9244.77,,13.43,3,0,0,13.4,,4,Stage 1
143,term,North,home_improvement,2021-06-24,677,658,9065.25,3546.02,,11.63,11,0,0,42.9,,-19,Stage 1
144,term,South,auto,2022-03-18,685,670,15696.49,7051.5,,5.58,7,0,0,34.0,,-15,Stage 1
145,term,South,debt_consolidation,2024-03-16,684,667,4365.53,3636.57,,3.85,6,0,0,9.7,,-17,Stage 1
146,term,South,debt_consolidation,2024-05-01,632,624,14438.57,11104.68,,8.17,30,0,0,8.2,,-8,Stage 2
147,term,South,debt_consolidation,2023-11-03,705,697,15214.38,11531.77,,6.1,3,0,0,14.2,,-8,Stage 1
148,term,West,personal,2021-09-03,666,650,8547.62,3466.63,,10.4,11,0,0,40.5,,-16,Stage 1
149,term,South,home_improvement,2022-11-06,735,706,1000.0,534.69,,11.14,1,0,0,26.2,,-29,Stage 1
150,term,East,personal,2021-04-24,673,661,11652.73,4554.35,,9.77,10,0,0,44.9,,-12,Stage 1
151,revolving,East,personal,2023-10-09,628,613,11381.76,8015.69,23776.34,6.58,18,0,0,15.0,0.337,-15,Stage 1
152,term,East,home_improvement,2023-03-05,587,569,10486.53,3813.19,,5.19,40,0,0,22.3,,-18,Stage 2
153,term,West,debt_consolidation,2021-08-21,568,536,2536.64,253.66,,10.98,52,0,0,41.0,,-32,Stage 2
154,term,South,personal,2023-09-07,758,760,14553.76,8055.72,,11.49,1,0,0,16.1,,2,Stage 1
155,revolving,East,debt_consolidation,2024-09-07,652,638,24634.08,21818.46,47672.84,12.32,16,0,0,3.9,0.458,-14,Stage 1
156,term,East,personal,2021-05-06,700,668,10864.2,2313.59,,8.13,2,0,0,44.5,,-32,Stage 2
157,term,East,debt_consolidation,2024-08-29,786,797,4414.62,4164.08,,8.73,1,0,0,4.2,,11,Stage 1
158,revolving,East,auto,2022-05-26,646,625,18190.47,4897.93,14018.92,11.43,9,0,0,31.7,0.349,-21,Stage 1
159,term,North,auto,2021-10-08,642,624,34448.67,3444.87,,9.04,19,0,0,39.4,,-18,Stage 1
160,revolving,South,auto,2023-03-09,672,650,6153.88,3035.09,4821.66,7.28,10,1,0,22.1,0.629,-22,Stage 2
161,term,South,home_improvement,2023-09-05,681,673,6348.44,3752.16,,6.48,10,1,0,16.1,,-8,Stage 2
162,term,West,auto,2023-06-22,793,797,29944.15,22108.34,,11.16,2,0,0,18.6,,4,Stage 1
163,term,North,personal,2024-07-30,773,754,11632.23,11015.53,,8.12,1,0,0,5.2,,-19,Stage 1
164,term,West,debt_consolidation,2022-10-13,717,700,2322.83,1066.23,,7.37,2,0,0,27.0,,-17,Stage 1
165,term,East,debt_consolidation,2022-01-27,766,777,41644.28,22421.62,,10.35,1,0,0,35.7,,11,Stage 1
166,revolving,West,debt_consolidation,2022-01-17,669,661,1000.0,619.78,933.94,6.86,6,0,0,36.0,0.664,-8,Stage 1
167,term,East,debt_consolidation,2021-08-04,697,681,1940.29,394.09,,7.27,3,0,0,41.5,,-16,Stage 1
168,term,East,personal,2022-06-26,661,640,4757.84,1317.17,,9.12,8,0,0,30.7,,-21,Stage 1
169,term,South,debt_consolidation,2022-08-29,602,568,21700.19,8848.2,,7.6,23,0,1,28.5,,-34,Stage 2
170,term,South,personal,2021-04-26,752,738,23017.05,12037.1,,13.24,2,0,0,44.9,,-14,Stage 1
171,term,South,personal,2022-05-24,711,702,3762.32,2102.82,,10.6,3,0,0,31.8,,-9,Stage 1
172,term,South,debt_consolidation,2021-09-28,681,683,6550.81,1716.31,,9.38,5,0,0,39.7,,2,Stage 1
173,term,South,debt_consolidation,2024-08-07,679,661,16464.97,14341.01,,13.21,6,0,0,4.9,,-18,Stage 1
174,term,North,debt_consolidation,2023-11-29,589,562,34126.16,26903.9,,9.24,34,0,0,13.3,,-27,Stage 2
175,term,South,personal,2023-11-14,621,591,1000.0,625.9,,12.25,30,0,0,13.8,,-30,Stage 2
176,term,West,home_improvement,2023-02-15,700,687,2068.12,803.63,,6.02,4,0,0,22.9,,-13,Stage 1
177,term,East,personal,2023-12-03,648,632,8577.41,6036.64,,7.1,22,0,0,13.2,,-16,Stage 1
178,term,South,home_improvement,2024-04-08,666,668,3127.97,2375.97,,6.13,15,0,0,8.9,,2,Stage 1
179,revolving,North,debt_consolidation,2021-12-06,673,669,28754.49,3893.34,7066.6,10.51,8,0,0,37.4,0.551,-4,Stage 1
180,term,West,personal,2021-06-18,639,630,12342.74,5011.07,,4.37,17,0,0,43.1,,-9,Stage 1
181,term,West,debt_consolidation,2022-10-24,621,594,27022.57,19648.39,,9.95,23,0,0,26.7,,-27,Stage 1
182,term,East,home_improvement,2021-05-23,583,546,16612.4,1661.24,,7.52,36,0,0,44.0,,-37,Stage 2
183,revolving,West,home_improvement,2024-01-30,671,655,21174.46,17818.26,28620.55,9.39,10,1,0,11.2,0.623,-16,Stage 2
184,revolving,West,personal,2022-07-29,717,701,7383.36,2535.5,7044.38,8.94,3,0,0,29.6,0.36,-16,Stage 1
185,term,West,personal,2022-04-20,581,549,1716.57,905.8,,10.67,55,0,0,32.9,,-32,Stage 2
186,term,West,personal,2021-11-07,678,666,11145.94,5780.22,,15.71,4,0,0,38.4,,-12,Stage 1
187,revolving,North,personal,2023-12-20,696,690,24764.25,19016.87,48848.01,15.06,8,0,0,12.6,0.389,-6,Stage 1
188,term,East,auto,2023-11-19,620,609,40856.85,26943.53,,11.45,27,0,0,13.6,,-11,Stage 1
189,term,South,auto,2022-06-15,765,767,10543.47,5728.54,,7.97,0,0,0,31.0,,2,Stage 1
190,term,West,debt_consolidation,2023-09-18,656,639,21805.67,12639.25,,9.57,19,1,0,15.7,,-17,Stage 2
191,term,North,home_improvement,2021-03-14,673,649,7263.7,726.37,,7.81,13,0,0,46.3,,-24,Stage 1
192,revolving,East,home_improvement,2024-11-18,670,666,9238.82,9033.93,16266.3,6.79,10,0,0,1.5,0.555,-4,Stage 1
193,revolving,South,debt_consolidation,2023-05-19,573,552,12154.01,8505.55,19368.86,3.14,45,0,0,19.8,0.439,-21,Stage 2
194,term,East,debt_consolidation,2022-01-29,740,729,36003.13,14044.42,,8.32,1,0,0,35.6,,-11,Stage 1
195,term,North,debt_consolidation,2022-04-26,622,608,21246.27,4406.18,,9.83,24,0,0,32.7,,-14,Stage 1
196,term,North,auto,2022-04-18,665,649,19121.84,11269.51,,10.83,12,0,0,33.0,,-16,Stage 1
197,revolving,North,debt_consolidation,2021-11-09,715,716,34715.66,3471.57,8340.97,9.34,2,0,0,38.3,0.416,1,Stage 1
198,revolving,West,home_improvement,2023-08-10,767,761,6525.15,4269.47,7479.35,6.92,0,0,0,17.0,0.571,-6,Stage 1
199,revolving,North,debt_consolidation,2021-11-20,615,589,10456.55,1745.46,3619.54,7.51,19,0,0,37.9,0.482,-26,Stage 1
200,revolving,South,personal,2023-10-10,653,619,19229.55,11664.85,17785.28,11.77,18,0,0,15.0,0.656,-34,Stage 2
201,term,West,home_improvement,2023-08-23,762,754,8142.8,6522.18,,3.87,0,0,0,16.6,,-8,Stage 1
202,term,East,home_improvement,2021-03-28,707,712,10060.49,1006.05,,7.47,3,0,0,45.8,,5,Stage 1
203,term,South,home_improvement,2021-12-25,720,737,15512.18,1551.22,,9.07,4,0,0,36.8,,17,Stage 1
204,revolving,West,auto,2022-11-26,616,597,12523.12,4929.42,13862.59,7.77,30,0,0,25.6,0.356,-19,Stage 2
205,term,North,auto,2021-07-16,657,634,5009.96,501.0,,4.45,18,0,0,42.2,,-23,Stage 1
206,term,East,home_improvement,2023-01-26,669,650,7180.62,5057.4,,11.8,16,0,1,23.5,,-19,Stage 1
207,term,North,personal,2023-09-04,628,606,4961.1,3328.76,,12.49,19,0,0,16.2,,-22,Stage 1
208,term,South,home_improvement,2024-11-09,579,547,21762.35,21186.6,,6.04,52,0,1,1.8,,-32,Stage 2
209,term,South,auto,2024-02-16,649,638,6966.06,5043.9,,3.0,12,0,0,10.7,,-11,Stage 1
210,term,West,personal,2022-05-13,761,743,19297.44,3253.36,,15.0,3,0,0,32.1,,-18,Stage 1
211,term,South,home_improvement,2023-06-27,683,669,14535.87,9807.71,,7.75,13,0,0,18.5,,-14,Stage 1
212,term,East,auto,2023-07-20,762,776,12745.72,7272.63,,6.08,1,0,0,17.7,,14,Stage 1
213,term,West,personal,2022-04-07,690,687,4182.56,1336.31,,8.67,4,0,0,33.3,,-3,Stage 1
214,term,East,debt_consolidation,2023-08-28,634,633,14411.82,9623.89,,9.96,24,0,1,16.4,,-1,Stage 1
215,revolving,North,debt_consolidation,2024-06-24,756,750,17906.51,15243.8,33343.59,7.11,1,0,0,6.4,0.457,-6,Stage 1
216,term,East,home_improvement,2021-08-22,692,672,21870.57,2425.64,,9.39,6,0,0,40.9,,-20,Stage 1
217,term,East,debt_consolidation,2022-02-21,737,733,4904.24,2627.31,,8.64,3,0,0,34.8,,-4,Stage 1
218,revolving,South,auto,2024-10-20,615,584,10749.02,10161.91,25080.4,6.94,29,0,0,2.4,0.405,-31,Stage 2
219,term,North,personal,2021-06-02,742,730,25899.56,4897.97,,4.1,0,0,0,43.6,,-12,Stage 1
220,revolving,South,home_improvement,2021-09-29,744,736,24017.71,5906.11,16489.86,13.0,0,0,0,39.7,0.358,-8,Stage 1
221,term,North,personal,2022-01-27,697,697,12160.1,1216.01,,10.69,4,0,0,35.7,,0,Stage 1
222,term,North,personal,2022-07-01,631,619,4055.41,959.14,,6.7,29,0,0,30.5,,-12,Stage 1
223,term,East,personal,2022-12-26,677,667,22722.23,9119.23,,10.22,8,1,1,24.6,,-10,Stage 2
224,term,South,auto,2024-12-24,716,707,12966.58,12619.89,,6.39,5,0,0,0.3,,-9,Stage 1
225,term,East,home_improvement,2021-07-08,694,699,5887.51,2395.74,,8.89,6,0,0,42.4,,5,Stage 1
226,term,East,debt_consolidation,2023-03-23,716,710,11043.58,6260.89,,10.78,2,0,0,21.7,,-6,Stage 1
227,revolving,East,personal,2024-06-29,740,724,4162.68,3408.81,6397.67,10.39,1,0,0,6.2,0.533,-16,Stage 1
228,term,North,personal,2022-01-30,641,623,22624.62,12952.89,,7.78,10,0,0,35.6,,-18,Stage 1
229,revolving,South,personal,2022-10-24,610,576,2417.55,564.78,1628.03,11.45,28,1,1,26.7,0.347,-34,Stage 2
230,term,South,auto,2023-05-03,677,657,27142.77,20038.46,,9.03,18,0,0,20.3,,-20,Stage 1
231,revolving,East,debt_consolidation,2024-05-27,660,656,15884.36,14629.81,33922.81,7.42,8,0,1,7.3,0.431,-4,Stage 1
232,term,North,personal,2022-08-17,727,722,4232.46,2534.43,,14.03,1,0,0,28.9,,-5,Stage 1
