loan_id,origination_date,orig_credit_score,current_credit_score,original_balance,current_balance,credit_limit,interest_rate,days_past_due,watchlist_flag,default_flag,months_on_book,utilization,credit_score_change,stage,LGD,EAD,balance_to_original_ratio,high_utilization_flag,score_deteriorated_flag,loan_type_term,region_North,region_South,region_West,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_personal,PD_12month,years_remaining,PD_lifetime,PD_used,ECL
11,2021-05-25,694,687,14657.44,7221.1,,12.4,4,0,0,43.9,,-7,Stage 1,0.893,7221.1,0.493,0,0,True,False,False,False,False,False,True,0.2826657465436341,1.3416666666666668,0.35963669284263855,0.2826657465436341,1822.75
12,2021-08-23,703,699,12878.8,3469.61,9024.78,14.95,2,0,0,40.9,0.384,-4,Stage 1,0.867,6247.2,0.269,0,0,False,False,True,False,True,False,False,0.28002761571627177,1.5916666666666668,0.40721886144969,0.28002761571627177,1516.72
13,2022-11-22,693,664,21274.86,5394.18,8970.01,11.43,3,0,0,25.7,0.601,-29,Stage 1,0.653,7182.1,0.254,0,0,False,True,False,False,False,True,False,0.28123712608527107,2.8583333333333334,0.6108886093089481,0.28123712608527107,1318.98
14,2022-12-21,710,712,17152.13,8311.3,,15.84,2,0,0,24.7,,2,Stage 1,0.637,8311.3,0.485,0,0,True,False,True,False,False,True,False,0.23858633692947695,2.941666666666667,0.5514948252436878,0.23858633692947695,1263.15
15,2024-03-05,645,644,30726.02,21661.18,,11.56,11,0,0,10.1,,-1,Stage 1,0.607,21661.18,0.705,0,0,True,True,False,False,False,True,False,0.5663260211225408,4.158333333333333,0.9690112310194613,0.5663260211225408,7446.24
16,2021-12-19,623,591,25417.96,9360.91,,10.89,28,0,0,37.0,,-32,Stage 2,0.883,9360.91,0.368,0,1,True,False,False,False,False,False,True,0.6120388700746378,1.9166666666666665,0.837128881158334,0.837128881158334,6919.44
17,2024-11-18,827,836,27524.91,27066.73,,12.03,10,0,0,1.5,,9,Stage 1,0.404,27066.73,0.983,0,0,True,False,False,True,False,False,False,0.059389796094033935,4.875,0.2580541363540736,0.059389796094033935,649.42
18,2023-09-21,661,640,21699.46,18184.17,,5.29,16,0,0,15.6,,-21,Stage 1,0.411,18184.17,0.838,0,0,True,False,False,True,False,False,False,0.5050970147682744,3.7,0.9259160258014943,0.5050970147682744,3774.94
19,2021-10-02,668,647,26675.31,2667.53,,8.39,7,0,0,39.6,,-21,Stage 1,0.474,2667.53,0.1,0,0,True,False,False,True,False,False,False,0.41397223620047324,1.6999999999999997,0.5968553266244332,0.41397223620047324,523.43
20,2024-11-08,720,713,10007.99,9722.46,,5.79,1,0,0,1.8,,-7,Stage 1,0.432,9722.46,0.971,0,0,True,True,False,False,False,False,False,0.2473390502070581,4.85,0.7479382116193665,0.2473390502070581,1038.85
21,2023-06-29,775,767,24727.14,17794.82,,8.47,1,0,0,18.4,,-8,Stage 1,0.411,17794.82,0.72,0,0,True,False,False,False,False,False,False,0.1005343957147373,3.466666666666667,0.3074042699216035,0.1005343957147373,735.28
22,2024-09-08,647,626,12931.58,11544.3,,10.35,13,0,0,3.8,,-21,Stage 1,0.625,11544.3,0.893,0,0,True,False,True,False,False,True,False,0.47566839827926105,4.683333333333334,0.9513792570399393,0.47566839827926105,3432.04
23,2024-04-21,620,617,3722.62,3301.29,,8.56,46,0,0,8.5,,-3,Stage 2,0.669,3301.29,0.887,0,0,True,False,False,True,False,True,False,0.6825998780564132,4.291666666666667,0.9927378743620119,0.9927378743620119,2192.52
24,2022-03-16,605,567,24487.56,8842.31,,8.57,25,0,1,34.1,,-38,Stage 2,0.835,8842.31,0.361,0,1,True,True,False,False,True,False,False,0.7242139977233061,2.158333333333333,0.9379747713875886,0.9379747713875886,6925.38
25,2023-12-23,775,776,16073.37,10249.29,,4.93,2,0,0,12.5,,1,Stage 1,0.629,10249.29,0.638,0,0,True,False,False,True,False,True,False,0.0845222013716152,3.958333333333333,0.29499974484312586,0.0845222013716152,544.9
26,2023-05-22,617,617,34345.89,19002.31,45907.91,7.43,31,0,0,19.7,0.414,0,Stage 2,0.86,32455.11,0.553,0,0,False,False,True,False,False,False,True,0.706967233353273,3.3583333333333334,0.9837920959808529,0.9837920959808529,27459.01
27,2022-10-13,678,663,14530.04,3034.25,,14.0,7,0,0,27.0,,-15,Stage 1,0.871,3034.25,0.209,0,0,True,False,False,False,True,False,False,0.3260397130520208,2.75,0.662134114577638,0.3260397130520208,861.67
28,2023-08-01,621,605,6977.51,5187.28,,7.33,26,0,0,17.3,,-16,Stage 1,0.655,5187.28,0.743,0,0,True,False,True,False,False,True,False,0.6254119752008782,3.5583333333333336,0.9696217613595579,0.6254119752008782,2124.94
29,2021-02-03,593,559,8561.97,2162.85,,7.97,31,1,0,47.6,,-34,Stage 2,0.879,2162.85,0.253,0,1,True,False,False,False,True,False,False,0.7560077014257929,1.0333333333333332,0.7672148230361561,0.7672148230361561,1458.59
30,2022-12-06,662,636,11339.89,4608.69,,9.7,12,0,0,25.2,,-26,Stage 1,0.859,4608.69,0.406,0,0,True,False,False,False,True,False,False,0.391920491833322,2.9,0.76368838517238,0.391920491833322,1551.56
31,2023-05-17,623,587,16423.46,6695.92,,10.11,26,1,0,19.8,,-36,Stage 2,0.445,6695.92,0.408,0,1,True,False,False,False,False,False,False,0.6518422252847499,3.3499999999999996,0.9708290933272474,0.9708290933272474,2892.76
32,2023-09-12,638,618,26935.45,16842.01,,8.59,27,0,0,15.9,,-20,Stage 1,0.813,16842.01,0.625,0,0,True,False,False,True,True,False,False,0.5846070908110897,3.675,0.9603870564935243,0.5846070908110897,8004.76
33,2023-04-12,800,819,16171.0,7860.7,,4.81,2,0,0,21.0,,19,Stage 1,0.639,7860.7,0.486,0,0,True,False,True,False,False,True,False,0.061813119550748294,3.25,0.18728101413541476,0.061813119550748294,310.49
34,2024-01-16,705,700,5150.29,4328.43,11613.43,10.62,7,0,0,11.7,0.373,-5,Stage 1,0.461,7970.93,0.84,0,0,False,False,False,True,False,False,False,0.29923737837088155,4.025,0.7609861937380993,0.29923737837088155,1099.58
35,2024-05-18,735,729,16573.95,13255.19,25090.57,14.76,0,0,0,7.6,0.528,-6,Stage 1,0.62,19172.88,0.8,0,0,False,False,True,False,False,True,False,0.16361682170937214,4.366666666666667,0.5416789922168437,0.16361682170937214,1944.94
36,2022-04-07,729,717,29875.84,5624.17,14820.17,14.51,1,0,0,33.3,0.379,-12,Stage 1,0.452,10222.17,0.188,0,0,False,True,False,False,False,False,False,0.22148452225263707,2.225,0.4271121205373225,0.22148452225263707,1023.35
37,2021-03-22,673,652,14775.55,1629.33,,6.85,11,0,0,46.0,,-21,Stage 1,0.684,1629.33,0.11,0,0,True,True,False,False,False,True,False,0.39009715018920227,1.1666666666666665,0.4383435209889873,0.39009715018920227,434.75
38,2021-11-18,653,626,18463.66,3456.29,,10.21,11,1,0,38.0,,-27,Stage 2,0.467,3456.29,0.187,0,0,True,False,True,False,False,False,False,0.5071212892718961,1.8333333333333335,0.7266682326088678,0.7266682326088678,1172.91
39,2022-02-19,694,674,12601.63,2718.36,,16.59,3,0,0,34.9,,-20,Stage 1,0.474,2718.36,0.216,0,0,True,False,True,False,False,False,False,0.3170931068027682,2.091666666666667,0.5496610992027848,0.3170931068027682,408.58
40,2023-09-19,690,682,12518.66,10239.93,,8.99,8,0,0,15.7,,-8,Stage 1,0.88,10239.93,0.818,0,0,True,False,True,False,False,False,True,0.3094989471677622,3.6916666666666664,0.7451712792871794,0.3094989471677622,2788.94
41,2021-07-09,645,650,27650.65,2765.06,,9.76,20,0,0,42.4,,5,Stage 1,0.673,2765.06,0.1,0,0,True,False,True,False,False,True,False,0.5313709647658368,1.4666666666666668,0.670984657855336,0.5313709647658368,988.82
42,2024-06-10,687,682,23075.22,19572.63,,4.52,4,0,0,6.8,,-5,Stage 1,0.809,19572.63,0.848,0,0,True,False,False,False,True,False,False,0.3173973432271794,4.433333333333334,0.8160027413301917,0.3173973432271794,5025.75
43,2022-01-27,637,611,57083.69,14031.57,,12.13,20,0,0,35.7,,-26,Stage 1,0.418,14031.57,0.246,0,0,True,False,False,True,False,False,False,0.5787804560700919,2.025,0.8263680111029672,0.5787804560700919,3394.66
44,2024-04-07,669,645,9331.5,7589.51,19879.05,9.83,12,0,0,9.0,0.382,-24,Stage 1,0.641,13734.28,0.813,0,0,False,False,False,False,False,True,False,0.35597956351478205,4.25,0.845892594871029,0.35597956351478205,3133.93
45,2021-06-17,659,633,7776.57,777.66,,6.32,15,1,0,43.1,,-26,Stage 2,0.494,777.66,0.1,0,0,True,False,False,True,False,False,False,0.4987532999305326,1.4083333333333332,0.621929696035131,0.621929696035131,238.92
46,2024-06-08,603,601,3857.01,3106.95,,11.08,29,0,0,6.9,,-2,Stage 1,0.92,3106.95,0.806,0,0,True,False,False,True,False,False,True,0.7136065451180069,4.425,0.9960457723655253,0.7136065451180069,2039.77
47,2024-03-19,538,513,11250.23,9633.77,,11.93,53,0,0,9.6,,-25,Stage 2,0.882,9633.77,0.856,0,0,True,False,False,True,False,False,True,0.9055541724014533,4.2,0.9999503673274077,0.9999503673274077,8496.56
48,2022-10-26,623,605,13056.24,9341.98,,6.92,25,0,0,26.6,,-18,Stage 1,0.883,9341.98,0.716,0,0,True,False,False,False,False,False,True,0.6082783765536497,2.783333333333333,0.9263588035984966,0.6082783765536497,5017.67
49,2024-11-10,788,799,7479.16,7151.44,,4.02,3,0,0,1.7,,11,Stage 1,0.893,7151.44,0.956,0,0,True,False,True,False,False,False,True,0.06960302080096308,4.858333333333333,0.2956636263707928,0.06960302080096308,444.5
50,2022-01-16,661,651,18796.27,8958.18,,9.42,16,1,0,36.0,,-10,Stage 2,0.835,8958.18,0.477,0,0,True,False,False,False,True,False,False,0.45890167503725726,2.0,0.7072126027225141,0.7072126027225141,5290.01
51,2024-07-22,726,696,23396.6,21763.02,41715.74,11.08,0,0,0,5.4,0.522,-30,Stage 2,0.807,31739.38,0.93,0,0,False,False,False,False,True,False,False,0.1722985822656962,4.55,0.5770146452418168,0.5770146452418168,14779.47
52,2023-06-17,552,510,18197.88,7939.99,22692.95,9.8,58,0,1,18.8,0.35,-42,Stage 2,0.439,15316.47,0.436,0,1,False,False,False,True,False,False,False,0.9080097454900936,3.4333333333333336,0.9997231909721328,0.9997231909721328,6722.07
53,2023-05-14,619,608,5719.36,3660.53,6602.83,12.47,23,0,0,19.9,0.554,-11,Stage 1,0.666,5131.68,0.64,0,0,False,True,False,False,False,True,False,0.6747229461954938,3.341666666666667,0.9765515825320811,0.6747229461954938,2306.0
54,2021-03-03,598,594,7966.95,796.69,1340.49,3.86,42,0,0,46.7,0.594,-4,Stage 2,0.944,1068.59,0.1,0,0,False,True,False,False,False,False,True,0.8015560822682019,1.108333333333333,0.8334484981399962,0.8334484981399962,840.74
55,2022-06-12,667,664,14289.8,7009.38,,5.96,10,0,0,31.1,,-3,Stage 1,0.894,7009.38,0.491,0,0,True,False,False,False,False,False,True,0.3935358961605245,2.408333333333333,0.7001374130027473,0.3935358961605245,2466.05
56,2023-05-12,825,829,28874.74,22806.7,45209.41,9.67,11,0,0,20.0,0.504,4,Stage 1,0.806,34008.06,0.79,0,0,False,False,False,True,True,False,False,0.05302241075612328,3.333333333333333,0.16606473837813596,0.05302241075612328,1453.37
57,2021-05-30,707,701,12135.94,4390.55,,4.33,5,0,0,43.7,,-6,Stage 1,0.861,4390.55,0.362,0,0,True,False,False,False,True,False,False,0.2416524671507946,1.358333333333333,0.3132145624610595,0.2416524671507946,913.51
58,2024-03-11,781,770,1838.8,1630.73,,6.73,1,0,0,9.9,,-11,Stage 1,0.934,1630.73,0.887,0,0,True,False,False,False,False,False,True,0.060979496056930316,4.175,0.2310139884023864,0.060979496056930316,92.88
59,2021-04-26,664,651,11169.01,4916.49,,7.42,8,1,1,44.9,,-13,Stage 2,0.657,4916.49,0.44,0,0,True,False,True,False,False,True,False,0.42953569367127803,1.2583333333333333,0.5065374875045843,0.5065374875045843,1636.18
60,2023-04-04,761,760,13640.24,6112.59,,12.05,1,0,0,21.3,,-1,Stage 1,0.449,6112.59,0.448,0,0,True,False,False,True,False,False,False,0.13015127752944283,3.2249999999999996,0.3621684036617532,0.13015127752944283,357.21
61,2021-03-06,804,806,36772.56,3677.26,,12.92,7,0,0,46.6,,2,Stage 1,0.466,3677.26,0.1,0,0,True,True,False,False,False,False,False,0.07451712262265167,1.1166666666666667,0.0828408564004307,0.07451712262265167,127.69
62,2024-12-23,673,664,1816.8,1763.62,,11.17,15,0,0,0.3,,-9,Stage 1,0.483,1763.62,0.971,0,0,True,True,False,False,False,False,False,0.44695952552229196,4.975,0.9474931869156555,0.44695952552229196,380.73
63,2021-11-06,647,629,23518.4,7292.41,12378.83,14.62,14,0,0,38.4,0.589,-18,Stage 1,0.442,9835.62,0.31,0,0,False,True,False,False,False,False,False,0.5961263341666974,1.8000000000000003,0.8044571388298692,0.5961263341666974,2591.57
64,2022-12-07,600,546,3914.22,2366.0,,13.2,40,0,1,25.2,,-54,Stage 2,0.677,2366.0,0.604,0,1,True,False,False,False,False,True,False,0.6904810773551615,2.9,0.966657904227811,0.966657904227811,1548.38
65,2023-05-04,661,638,9546.65,4537.63,,11.37,9,0,0,20.3,,-23,Stage 1,0.659,4537.63,0.475,0,0,True,False,False,True,False,True,False,0.3978621981488023,3.3083333333333336,0.8132930094850845,0.3978621981488023,1189.73
66,2024-12-24,684,663,17778.77,17434.8,,11.28,12,0,0,0.3,,-21,Stage 1,0.612,17434.8,0.981,0,0,True,False,True,False,False,True,False,0.3281995447569364,4.975,0.8617960481193061,0.3281995447569364,3501.92
67,2023-10-21,801,801,25657.51,15754.64,,7.24,2,0,0,14.6,,0,Stage 1,0.815,15754.64,0.614,0,0,True,True,False,False,True,False,False,0.06846683300157835,3.783333333333333,0.23534244009500582,0.06846683300157835,879.12
68,2024-03-30,602,580,8030.92,6038.03,15486.14,4.82,45,0,0,9.2,0.39,-22,Stage 2,0.899,10762.08,0.752,0,0,False,False,False,True,False,False,True,0.7378353291084611,4.233333333333333,0.9965435471536321,0.9965435471536321,9641.67
69,2021-11-02,683,673,9809.07,980.91,,6.86,7,0,0,38.5,,-10,Stage 1,0.692,980.91,0.1,0,0,True,True,False,False,False,True,False,0.35160936333493015,1.7916666666666665,0.5398767808909588,0.35160936333493015,238.67
70,2024-10-16,571,540,12013.74,11498.01,25614.53,11.52,33,0,0,2.6,0.449,-31,Stage 2,0.425,18556.27,0.957,0,1,False,False,True,False,False,False,False,0.8551002173424843,4.783333333333333,0.9999029250159458,0.9999029250159458,7885.65
71,2024-07-25,654,635,7655.93,7021.4,12848.88,8.06,19,0,0,5.3,0.546,-19,Stage 1,0.644,9935.14,0.917,0,0,False,False,False,True,False,True,False,0.4625058610145133,4.558333333333334,0.9409861974549012,0.4625058610145133,2959.22
72,2024-08-12,698,662,34403.34,31008.96,,10.83,2,0,0,4.7,,-36,Stage 2,0.852,31008.96,0.901,0,1,True,False,False,False,False,False,True,0.2640700819041647,4.608333333333333,0.7565902251920755,0.7565902251920755,19988.84
73,2023-05-23,710,710,16017.89,9813.41,,3.51,0,0,0,19.6,,0,Stage 1,0.831,9813.41,0.613,0,0,True,False,False,False,True,False,False,0.22228651994144458,3.3666666666666663,0.5710308342392239,0.22228651994144458,1812.73
74,2021-06-18,715,707,22170.76,2217.08,6557.54,10.58,2,0,0,43.1,0.338,-8,Stage 1,0.479,4387.31,0.1,0,0,False,True,False,False,False,False,False,0.27823520808724933,1.4083333333333332,0.3682082733866944,0.27823520808724933,584.72
75,2023-10-28,703,690,12126.7,9231.58,18606.56,6.43,5,0,0,14.4,0.496,-13,Stage 1,0.834,13919.07,0.761,0,0,False,True,False,False,True,False,False,0.28990323331137624,3.8,0.7277257103771707,0.28990323331137624,3365.34
76,2024-03-01,714,701,12048.42,9035.79,18526.66,6.81,1,0,0,10.2,0.488,-13,Stage 1,0.635,13781.22,0.75,0,0,False,False,False,True,False,True,False,0.2068717985921048,4.15,0.6178137320958084,0.2068717985921048,1810.35
77,2022-08-11,682,653,27245.05,13596.95,27069.22,14.0,7,0,1,29.1,0.502,-29,Stage 1,0.419,20333.08,0.499,0,0,False,False,True,False,False,False,False,0.38575262983078185,2.5749999999999997,0.7149086684778097,0.38575262983078185,3286.44
78,2023-02-01,617,614,13542.96,10283.92,,15.45,33,0,0,23.3,,-3,Stage 2,0.429,10283.92,0.759,0,0,True,True,False,False,False,False,False,0.7684527951102867,3.0583333333333336,0.9886012839541106,0.9886012839541106,4361.51
79,2021-12-13,568,532,19784.82,11380.45,,5.78,57,1,0,37.2,,-36,Stage 2,0.625,11380.45,0.575,0,1,True,False,False,True,False,True,False,0.868728689743478,1.9,0.9788883266253919,0.9788883266253919,6962.62
80,2023-08-13,647,612,10362.64,8098.27,,8.31,16,0,0,16.9,,-35,Stage 2,0.638,8098.27,0.781,0,1,True,False,True,False,False,True,False,0.4823197208530236,3.591666666666667,0.9060266616026462,0.9060266616026462,4681.16
81,2023-01-05,671,653,8207.24,4597.57,12879.81,8.63,12,0,0,24.2,0.357,-18,Stage 1,0.909,8738.69,0.56,0,0,False,True,False,False,False,False,True,0.4161078702724894,2.9833333333333334,0.7991405261915352,0.4161078702724894,3305.34
82,2024-06-30,755,751,15558.79,13284.67,,11.21,1,0,0,6.2,,-4,Stage 1,0.62,13284.67,0.854,0,0,True,True,False,False,False,True,False,0.12989196185711074,4.483333333333333,0.46409670546198134,0.12989196185711074,1069.85
83,2022-02-14,673,669,6957.2,2683.28,,7.59,11,0,0,35.1,,-4,Stage 1,0.674,2683.28,0.386,0,0,True,False,False,True,False,True,False,0.3877129814709985,2.0749999999999997,0.6386469435646516,0.3877129814709985,701.19
84,2022-06-27,668,650,3299.92,645.52,,6.58,21,1,0,30.6,,-18,Stage 2,0.696,645.52,0.196,0,0,True,True,False,False,False,True,False,0.4486742350256617,2.4499999999999997,0.7674853575971327,0.7674853575971327,344.82
85,2021-12-21,703,689,10425.39,1042.54,,9.88,5,0,0,36.9,,-14,Stage 1,0.491,1042.54,0.1,0,0,True,False,False,False,False,False,False,0.27097321326682405,1.9250000000000003,0.45577158845238763,0.27097321326682405,138.71
86,2022-12-14,663,638,39768.34,11443.61,,9.24,15,0,1,25.0,,-25,Stage 1,0.875,11443.61,0.288,0,0,True,False,True,False,False,False,True,0.3949786986879432,2.9166666666666665,0.7690607378170696,0.3949786986879432,3954.98
87,2024-10-23,728,705,19335.77,18861.68,47743.61,11.6,2,0,0,2.3,0.395,-23,Stage 1,0.41,33302.65,0.975,0,0,False,False,True,False,False,False,False,0.21320446423126801,4.808333333333334,0.6843038828176379,0.21320446423126801,2911.11
88,2022-08-07,798,786,9155.31,6376.93,,6.95,5,0,0,29.3,,-12,Stage 1,0.647,6376.93,0.697,0,0,True,False,False,False,False,True,False,0.05250807840679855,2.558333333333333,0.1288912796877909,0.05250807840679855,216.64
89,2022-05-26,811,819,19900.63,3975.91,10989.32,8.39,6,0,0,31.7,0.362,8,Stage 1,0.913,7482.62,0.2,0,0,False,False,False,True,False,False,True,0.051709230958787294,2.3583333333333334,0.11769157727206381,0.051709230958787294,353.26
90,2022-06-17,685,675,29932.65,9078.81,,11.33,7,0,1,31.0,,-10,Stage 1,0.634,9078.81,0.303,0,0,True,False,False,False,False,True,False,0.2951355870713016,2.4166666666666665,0.5705408805539198,0.2951355870713016,1698.79
91,2022-06-12,700,697,7563.43,3761.91,,8.82,3,0,0,31.1,,-3,Stage 1,0.465,3761.91,0.497,0,0,True,False,False,False,False,False,False,0.2955073775523892,2.408333333333333,0.5698342957780018,0.2955073775523892,516.93
92,2023-08-05,774,770,19877.01,10221.52,16301.35,3.96,0,0,0,17.2,0.627,-4,Stage 1,0.43,13261.44,0.514,0,0,False,False,True,False,False,False,False,0.10664319225634344,3.5666666666666664,0.3311598645618701,0.10664319225634344,608.12
93,2024-11-26,671,670,10218.91,10084.57,20702.29,13.87,9,0,0,1.2,0.487,-1,Stage 1,0.63,15393.43,0.987,0,0,False,False,False,True,False,True,False,0.39831238045302936,4.9,0.9170305388226384,0.39831238045302936,3862.78
94,2024-04-13,720,701,32195.87,27934.72,,8.75,3,0,0,8.8,,-19,Stage 1,0.853,27934.72,0.868,0,0,True,True,False,False,False,False,True,0.23395478114158816,4.266666666666667,0.6792607319813864,0.23395478114158816,5574.75
95,2023-04-04,611,583,9053.96,6099.72,17037.13,8.8,31,0,1,21.3,0.358,-28,Stage 2,0.449,11568.42,0.674,0,0,False,False,False,False,False,False,False,0.7091201786619609,3.2249999999999996,0.9813586936702375,0.9813586936702375,5097.39
96,2021-03-19,661,643,9961.94,4409.64,,16.58,7,0,0,46.1,,-18,Stage 1,0.661,4409.64,0.443,0,0,True,False,False,False,False,True,False,0.4053038998041275,1.1583333333333332,0.4522801508171941,0.4053038998041275,1181.37
97,2022-03-16,749,742,18414.69,5068.52,,15.34,1,0,0,34.1,,-7,Stage 1,0.856,5068.52,0.275,0,0,True,False,False,True,True,False,False,0.13288194795889344,2.158333333333333,0.26489026405067617,0.13288194795889344,576.53
98,2022-07-03,636,607,6722.19,4046.71,,11.85,20,0,0,30.4,,-29,Stage 1,0.663,4046.71,0.602,0,0,True,False,False,False,False,True,False,0.5150315024624984,2.466666666666667,0.8322123321992708,0.5150315024624984,1381.81
99,2024-06-09,672,646,6361.44,5347.67,,5.74,9,0,0,6.9,,-26,Stage 1,0.654,5347.67,0.841,0,0,True,False,False,True,False,True,False,0.33564875864828364,4.425,0.836276866729663,0.33564875864828364,1173.89
100,2022-02-04,585,534,31309.14,5066.41,,13.13,43,0,0,35.4,,-51,Stage 2,0.906,5066.41,0.162,0,1,True,True,False,False,False,False,True,0.7854948613249761,2.0500000000000003,0.9573963031078784,0.9573963031078784,4394.61
101,2024-05-21,800,817,27293.44,22595.04,,3.69,5,0,0,7.5,,17,Stage 1,0.606,22595.04,0.828,0,0,True,False,False,True,False,True,False,0.06962265077264658,4.375,0.2707378262239265,0.06962265077264658,953.31
102,2024-05-01,755,750,22676.15,18066.19,,9.41,2,0,0,8.2,,-5,Stage 1,0.811,18066.19,0.797,0,0,True,True,False,False,True,False,False,0.14340049932880355,4.316666666666666,0.48734612673215383,0.14340049932880355,2101.06
103,2022-12-02,691,674,8044.04,1945.06,,7.61,7,0,0,25.4,,-17,Stage 1,0.681,1945.06,0.242,0,0,True,False,False,True,False,True,False,0.2783633791639744,2.8833333333333333,0.6096221270098833,0.2783633791639744,368.72
104,2024-07-14,710,691,13935.68,11860.44,,6.9,2,0,0,5.7,,-19,Stage 1,0.824,11860.44,0.851,0,0,True,False,False,False,True,False,False,0.20459918222265297,4.525,0.6450625702590597,0.20459918222265297,1999.55
105,2021-05-06,703,692,15271.98,2222.53,3551.2,9.7,3,0,0,44.5,0.626,-11,Stage 1,0.478,2886.86,0.146,0,0,False,True,False,False,False,False,False,0.33041229192719146,1.2916666666666665,0.4043360478337579,0.33041229192719146,455.94
106,2023-04-14,763,758,38178.59,25543.78,,10.84,0,0,0,20.9,,-5,Stage 1,0.605,25543.78,0.669,0,0,True,False,False,False,False,True,False,0.10506510078077666,3.2583333333333337,0.30350106596795223,0.10506510078077666,1623.67
107,2024-11-06,648,646,13109.1,12757.55,,11.36,10,0,0,1.9,,-2,Stage 1,0.871,12757.55,0.973,0,0,True,True,False,False,False,False,True,0.5290877987388726,4.841666666666667,0.9739093905158975,0.5290877987388726,5879.13
108,2022-06-28,723,709,7448.19,1328.25,3760.59,8.76,0,0,0,30.6,0.353,-14,Stage 1,0.688,2544.42,0.178,0,0,False,False,False,True,False,True,False,0.18030126285529818,2.4499999999999997,0.385597531791793,0.18030126285529818,315.63
109,2022-05-17,744,735,21313.56,3806.77,,8.37,0,0,0,32.0,,-9,Stage 1,0.865,3806.77,0.179,0,0,True,False,False,True,True,False,False,0.13339935378542472,2.3333333333333335,0.2840033011926886,0.13339935378542472,439.26
110,2024-11-27,752,754,15524.63,15303.14,,11.56,1,0,0,1.2,,2,Stage 1,0.815,15303.14,0.986,0,0,True,False,False,True,True,False,False,0.13485155741704274,4.9,0.5082503171084436,0.13485155741704274,1681.88
111,2023-04-04,544,518,23278.84,8988.9,,11.64,58,0,1,21.3,,-26,Stage 2,0.885,8988.9,0.386,0,0,True,False,True,False,False,False,True,0.8987911521722084,3.2249999999999996,0.9993808019204845,0.9993808019204845,7950.25
112,2024-07-08,644,612,33969.15,29837.65,,9.41,7,0,0,5.9,,-32,Stage 2,0.803,29837.65,0.878,0,1,True,False,True,False,True,False,False,0.5390663304292796,4.508333333333333,0.9695512172708576,0.9695512172708576,23230.09
113,2022-01-22,618,600,35351.6,19703.26,32248.7,6.4,31,0,0,35.8,0.611,-18,Stage 2,0.609,25975.98,0.557,0,0,False,True,False,False,False,True,False,0.7175042522877912,2.016666666666667,0.9218598881583379,0.9218598881583379,14583.24
