loan_id,loan_type,region,loan_purpose,origination_date,orig_credit_score,current_credit_score,original_balance,current_balance,credit_limit,interest_rate,days_past_due,watchlist_flag,default_flag,months_on_book,utilization,credit_score_change
45,term,East,debt_consolidation,2023-11-12,738,717,22958.3,13816.14,,12.49,4,0,0,13.9,,-21
46,term,East,debt_consolidation,2021-04-04,716,683,32515.56,3620.11,,9.16,4,0,0,45.6,,-33
47,term,South,home_improvement,2022-10-08,646,635,4231.38,2274.78,,6.31,7,0,0,27.2,,-11
48,term,East,auto,2022-07-07,694,682,19987.5,12834.8,,10.83,7,1,0,30.3,,-12
49,revolving,South,debt_consolidation,2024-06-30,679,637,17079.91,14368.29,40607.46,11.26,8,0,0,6.2,0.354,-42
50,term,West,personal,2024-01-29,690,659,15801.67,10583.84,,14.12,8,0,0,11.3,,-31
51,term,North,auto,2024-01-15,663,629,30785.28,23596.4,,10.68,9,0,0,11.7,,-34
52,term,North,auto,2021-10-30,686,660,11109.21,5225.13,,10.98,8,0,0,38.6,,-26
53,term,West,personal,2024-07-26,588,563,40309.11,33989.99,,11.53,12,0,0,5.3,,-25
54,term,East,personal,2024-09-18,655,622,12347.07,11735.67,,3.0,7,0,1,3.5,,-33
55,term,West,debt_consolidation,2022-05-13,698,666,1000.0,511.41,,10.15,1,1,0,32.1,,-32
56,term,South,personal,2024-06-07,637,625,12506.04,10622.05,,12.02,16,0,0,6.9,,-12
57,term,North,home_improvement,2021-06-30,703,660,10627.67,3554.71,,9.69,9,0,0,42.7,,-43
58,revolving,South,home_improvement,2022-11-11,803,810,14962.34,9458.28,17850.64,7.48,0,0,0,26.1,0.53,7
59,term,East,debt_consolidation,2021-12-30,610,588,11045.64,1489.73,,6.89,14,0,0,36.6,,-22
60,term,North,debt_consolidation,2023-06-14,570,538,11891.16,5531.31,,8.87,21,0,0,18.9,,-32
61,term,West,home_improvement,2022-03-21,752,715,29050.6,4981.08,,8.6,1,0,0,33.9,,-37
62,revolving,North,home_improvement,2023-04-28,805,815,3449.53,1943.98,4856.83,9.62,0,0,0,20.5,0.4,10
63,term,West,personal,2021-01-14,702,698,47662.5,10138.46,,9.01,7,0,0,48.3,,-4
64,term,West,debt_consolidation,2021-10-05,680,638,4882.8,739.01,,10.9,7,1,0,39.5,,-42
65,term,South,personal,2024-09-09,641,622,20446.58,19591.06,,5.07,14,0,0,3.8,,-19
66,term,North,debt_consolidation,2023-01-21,712,681,20592.97,15169.76,,11.4,8,0,0,23.7,,-31
67,term,West,personal,2024-01-10,679,654,9325.62,7703.92,,12.8,9,0,0,11.9,,-25
68,revolving,South,home_improvement,2024-11-11,730,724,24205.84,23554.38,38172.33,3.97,6,0,0,1.7,0.617,-6
69,term,South,personal,2022-12-08,577,548,9490.8,6172.85,,7.69,17,0,0,25.2,,-29
70,term,East,debt_consolidation,2024-12-16,699,695,12715.69,12552.86,,11.53,9,0,0,0.5,,-4
71,revolving,East,auto,2022-02-01,629,619,18557.66,1855.77,5458.07,10.26,13,0,0,35.5,0.34,-10
72,revolving,West,personal,2021-12-18,736,744,23692.38,4169.01,10443.4,5.55,4,0,0,37.0,0.399,8
73,revolving,North,home_improvement,2023-01-24,611,562,14360.81,8954.12,25551.43,10.78,13,0,0,23.6,0.35,-49
74,term,East,debt_consolidation,2022-09-12,717,723,18726.0,5118.41,,3.38,3,0,0,28.1,,6
75,term,West,personal,2024-10-21,645,592,5164.93,4985.84,,10.51,12,0,1,2.4,,-53
76,term,North,auto,2021-08-24,653,638,39179.32,3917.93,,13.04,13,0,0,40.9,,-15
77,revolving,East,personal,2022-12-18,730,700,10924.61,7159.86,18204.21,8.92,3,1,0,24.8,0.393,-30
78,term,East,debt_consolidation,2021-12-15,632,626,6574.71,1086.22,,11.42,5,0,0,37.1,,-6
79,term,West,home_improvement,2022-12-18,589,570,40513.45,21915.59,,10.0,12,0,0,24.8,,-19
80,revolving,West,debt_consolidation,2023-08-04,684,661,10462.05,7589.11,12510.47,6.75,9,0,0,17.2,0.607,-23
81,term,North,home_improvement,2021-05-28,640,610,21684.4,2168.44,,7.3,11,0,0,43.8,,-30
82,term,East,auto,2023-03-28,597,577,46093.99,27546.47,,8.07,20,0,1,21.5,,-20
83,revolving,West,auto,2023-06-26,701,676,8312.87,5114.48,12172.95,8.26,6,0,0,18.5,0.42,-25
84,term,South,home_improvement,2021-11-02,697,702,10451.92,1045.19,,12.5,6,0,0,38.5,,5
85,term,East,auto,2022-07-07,687,654,6782.0,4547.75,,13.47,5,0,0,30.3,,-33
86,revolving,West,debt_consolidation,2021-04-29,710,692,33068.19,13833.84,22038.69,11.6,7,0,0,44.8,0.628,-18
87,term,South,auto,2022-08-08,560,540,18180.39,9444.26,,13.43,23,0,0,29.2,,-20
88,term,North,personal,2023-10-25,634,587,6246.6,5035.0,,9.83,15,0,0,14.5,,-47
89,term,North,debt_consolidation,2022-07-09,696,681,27974.44,12766.74,,3.0,7,0,0,30.2,,-15
90,revolving,East,auto,2023-01-10,742,729,1588.05,616.89,1546.17,9.01,2,0,0,24.1,0.399,-13
91,term,East,debt_consolidation,2021-01-31,694,672,4084.41,408.44,,6.68,2,0,0,47.7,,-22
92,term,East,home_improvement,2022-06-08,750,699,13442.96,4214.12,,11.01,1,0,1,31.3,,-51
93,term,East,auto,2024-10-23,639,616,12141.58,11505.12,,8.57,13,1,0,2.3,,-23
94,term,South,auto,2022-02-18,643,591,24001.05,13824.74,,9.94,14,0,1,34.9,,-52
95,term,East,auto,2022-11-15,657,650,6406.23,2198.54,,9.15,7,0,0,25.9,,-7
96,term,North,auto,2023-09-10,675,617,5464.98,3269.11,,7.35,4,0,0,16.0,,-58
97,revolving,East,auto,2023-04-23,573,561,10895.38,5128.84,11122.12,6.48,22,0,0,20.6,0.461,-12
98,term,West,debt_consolidation,2023-11-26,678,638,8164.68,5229.84,,7.54,12,1,0,13.4,,-40
99,term,East,auto,2022-06-21,677,635,23107.48,8972.5,,10.32,10,0,0,30.8,,-42
100,term,South,home_improvement,2023-04-19,643,604,31160.68,13135.77,,13.13,11,0,0,20.8,,-39
101,term,East,personal,2023-04-20,633,591,20108.81,8325.41,,10.31,6,0,0,20.7,,-42
102,term,East,home_improvement,2022-01-12,696,683,28350.94,9797.72,,16.65,7,0,0,36.2,,-13
103,term,South,debt_consolidation,2022-02-10,715,683,2303.4,614.73,,10.91,6,0,0,35.2,,-32
104,revolving,South,debt_consolidation,2022-07-02,688,665,9170.68,2518.92,4802.58,9.66,8,0,0,30.5,0.524,-23
105,term,West,personal,2024-02-29,688,652,18061.58,13535.62,,12.42,6,0,0,10.2,,-36
106,term,South,personal,2021-03-19,677,661,24942.63,6308.21,,4.72,9,0,0,46.1,,-16
107,term,North,home_improvement,2022-04-29,680,678,9537.72,5164.65,,7.07,12,0,0,32.6,,-2
108,term,South,auto,2023-05-08,720,682,3130.89,1624.6,,10.84,5,0,0,20.1,,-38
109,revolving,North,debt_consolidation,2022-06-03,777,756,40564.29,10516.16,24226.19,6.83,0,0,0,31.4,0.434,-21
110,term,North,home_improvement,2022-02-25,769,746,4261.44,2630.37,,13.3,1,0,0,34.7,,-23
111,revolving,South,debt_consolidation,2023-12-04,614,558,12044.59,7872.11,19533.59,7.53,12,0,0,13.1,0.403,-56
112,revolving,West,debt_consolidation,2024-01-01,553,502,9148.98,6326.92,15853.67,11.46,13,0,0,12.2,0.399,-51
113,term,West,auto,2023-08-14,711,667,28332.84,21600.61,,9.32,5,0,0,16.9,,-44
114,revolving,East,personal,2024-08-31,681,657,6545.22,6033.59,10432.66,14.84,7,1,0,4.1,0.578,-24
115,term,East,debt_consolidation,2022-11-23,676,660,17149.84,9073.68,,11.22,9,0,0,25.7,,-16
116,term,North,debt_consolidation,2021-05-12,702,652,17851.86,1785.19,,10.77,3,0,0,44.3,,-50
117,term,East,personal,2022-05-06,665,634,30811.85,15302.1,,7.93,10,0,0,32.4,,-31
118,term,West,personal,2024-02-28,582,547,13748.67,11152.2,,7.29,22,0,0,10.3,,-35
119,term,West,auto,2023-01-26,611,586,13910.8,8938.63,,9.21,13,0,0,23.5,,-25
120,term,South,auto,2024-06-22,615,588,27649.74,25128.78,,10.68,20,0,1,6.4,,-27
121,revolving,West,personal,2021-08-16,720,711,12383.56,6192.42,18498.69,10.02,2,0,0,41.1,0.335,-9
122,term,South,personal,2021-07-31,793,781,10813.07,6290.61,,4.65,0,0,0,41.7,,-12
123,revolving,West,home_improvement,2022-11-01,651,607,12432.93,6183.91,14090.3,7.99,11,0,0,26.4,0.439,-44
124,revolving,East,auto,2023-08-02,836,822,55052.36,36958.41,106106.12,9.97,0,0,0,17.3,0.348,-14
125,term,West,personal,2021-12-29,566,538,6004.96,600.5,,6.12,19,1,1,36.6,,-28
126,term,East,personal,2022-10-04,649,609,4008.79,985.15,,10.22,7,0,0,27.3,,-40
127,term,North,home_improvement,2022-02-15,690,673,13599.32,7333.0,,7.68,11,0,0,35.0,,-17
128,revolving,West,home_improvement,2023-07-06,526,481,14998.85,11792.82,33736.42,10.77,23,0,0,18.2,0.35,-45
129,term,East,debt_consolidation,2022-12-30,771,753,28952.55,15628.46,,8.34,0,0,0,24.4,,-18
130,term,North,auto,2022-01-24,638,599,15559.85,5424.29,,9.14,6,1,0,35.8,,-39
131,term,East,home_improvement,2023-03-04,682,664,5622.05,3257.52,,9.53,12,1,0,22.3,,-18
132,revolving,West,auto,2023-01-16,706,676,7335.97,2808.62,4958.62,10.58,3,0,0,23.9,0.566,-30
133,term,West,personal,2023-11-01,584,544,15728.15,11018.93,,11.56,21,0,0,14.2,,-40
134,revolving,East,personal,2023-01-19,825,802,11255.07,8328.32,18681.05,5.45,0,0,0,23.8,0.446,-23
135,term,East,personal,2021-01-19,688,674,9663.26,1421.2,,8.95,4,1,0,48.1,,-14
136,revolving,East,home_improvement,2021-08-21,659,641,20802.86,5394.59,11310.07,9.42,16,0,0,41.0,0.477,-18
137,revolving,South,personal,2024-07-21,613,581,7917.79,7120.61,16037.74,18.36,8,0,0,5.5,0.444,-32
138,term,East,auto,2023-01-24,692,671,12779.87,5799.93,,11.7,8,0,0,23.6,,-21
139,term,North,personal,2023-10-28,585,552,35816.73,20624.49,,9.37,19,0,1,14.4,,-33
140,term,West,auto,2023-05-05,688,645,32061.56,21085.45,,5.31,7,0,0,20.2,,-43
141,revolving,South,home_improvement,2021-01-04,763,738,31181.27,8258.57,16088.28,8.45,0,0,0,48.6,0.513,-25
142,revolving,West,home_improvement,2021-05-29,749,739,3387.81,338.78,584.23,15.93,2,0,0,43.8,0.58,-10
143,revolving,North,debt_consolidation,2024-02-26,646,605,8756.62,7122.95,12903.95,4.51,8,0,0,10.3,0.552,-41
144,term,West,home_improvement,2021-02-10,663,631,8811.89,881.19,,8.37,11,0,0,47.4,,-32
145,term,South,home_improvement,2022-08-12,712,696,5951.05,3687.96,,12.96,3,0,0,29.1,,-16
146,term,East,home_improvement,2022-01-25,750,706,41711.92,4171.19,,15.66,0,0,0,35.7,,-44
147,term,North,auto,2023-08-17,771,768,7997.24,6023.45,,8.42,0,0,0,16.8,,-3
148,term,West,debt_consolidation,2024-03-15,777,778,7676.96,5624.96,,10.87,0,0,0,9.7,,1
149,term,East,home_improvement,2023-03-06,624,590,15358.43,10277.1,,11.95,13,0,1,22.2,,-34
150,revolving,South,personal,2022-11-17,725,701,9970.12,4490.28,12742.43,11.09,1,0,0,25.9,0.352,-24
151,revolving,East,personal,2024-11-02,596,549,12529.83,11941.58,32908.64,9.94,17,0,0,2.0,0.363,-47
152,term,North,auto,2023-03-25,652,632,14788.67,8649.78,,13.2,17,0,0,21.6,,-20
153,term,West,home_improvement,2022-08-20,609,570,11863.75,6534.2,,12.62,22,0,1,28.8,,-39
154,revolving,South,home_improvement,2023-12-03,610,573,14245.81,11780.07,29862.37,10.5,18,0,0,13.2,0.394,-37
155,term,South,home_improvement,2022-12-21,694,675,18959.69,10605.77,,14.24,12,0,0,24.7,,-19
156,term,East,home_improvement,2023-12-10,638,595,13659.18,10575.68,,9.57,11,0,0,12.9,,-43
157,term,East,auto,2021-08-19,697,652,16076.4,1607.64,,9.7,9,0,0,41.0,,-45
158,term,South,debt_consolidation,2024-07-24,607,582,21943.2,19287.94,,8.39,20,0,0,5.4,,-25
159,term,North,debt_consolidation,2024-08-05,709,689,13095.83,12367.84,,3.0,3,0,0,5.0,,-20
160,term,North,auto,2021-08-08,654,598,11607.14,4475.87,,9.78,10,0,0,41.4,,-56
161,term,North,home_improvement,2021-01-30,662,603,14479.38,5703.4,,9.6,12,0,0,47.7,,-59
162,term,East,debt_consolidation,2023-06-13,601,555,16788.86,11839.02,,5.52,21,0,0,18.9,,-46
163,term,East,auto,2023-11-23,741,747,6837.41,5526.23,,7.0,3,0,0,13.5,,6
164,term,South,home_improvement,2023-10-14,688,640,12841.41,8243.29,,12.08,13,0,0,14.8,,-48
165,term,West,home_improvement,2021-03-16,712,692,34317.64,3431.76,,5.04,7,0,0,46.2,,-20
166,revolving,East,debt_consolidation,2021-09-06,603,567,2684.11,518.66,839.8,8.96,19,0,0,40.4,0.618,-36
167,term,East,personal,2021-04-05,720,672,17716.67,8090.08,,11.61,3,1,0,45.6,,-48
168,term,West,auto,2021-08-01,682,624,4893.81,749.07,,5.72,10,0,0,41.6,,-58
169,term,West,debt_consolidation,2024-01-18,650,608,32671.62,22852.12,,9.29,12,0,0,11.6,,-42
170,revolving,East,personal,2024-03-15,762,743,37108.96,29742.16,85828.66,10.18,0,0,0,9.7,0.347,-19
171,term,North,personal,2023-06-27,704,715,16404.45,12621.26,,11.64,9,0,0,18.5,,11
172,revolving,South,auto,2022-04-28,707,718,8215.67,1975.6,3325.37,9.91,2,0,0,32.6,0.594,11
173,revolving,South,debt_consolidation,2022-03-24,562,531,5136.34,2956.93,7471.97,10.41,18,0,0,33.8,0.396,-31
174,revolving,East,personal,2024-08-01,744,728,4720.08,4129.27,7522.75,7.57,2,0,1,5.1,0.549,-16
175,revolving,East,personal,2021-11-29,706,682,7713.63,1785.59,4076.03,10.29,6,0,0,37.6,0.438,-24
176,revolving,North,personal,2023-02-26,754,720,12430.58,8638.17,23878.53,11.39,2,0,0,22.5,0.362,-34
177,revolving,North,home_improvement,2024-01-13,644,603,18228.31,15447.29,32047.33,4.85,7,0,0,11.8,0.482,-41
178,term,East,debt_consolidation,2021-09-15,637,589,22146.3,5206.88,,10.39,14,0,0,40.1,,-48
179,term,North,personal,2024-07-15,776,744,26547.1,23059.6,,17.27,1,0,0,5.7,,-32
180,revolving,East,home_improvement,2021-11-26,737,721,11000.36,4894.94,11417.93,7.39,6,0,0,37.7,0.429,-16
181,term,South,auto,2021-10-19,594,547,5625.12,562.51,,9.5,13,0,0,39.0,,-47
182,revolving,North,debt_consolidation,2024-11-15,680,640,17171.23,16785.78,44230.76,6.73,6,0,0,1.6,0.38,-40
183,term,North,debt_consolidation,2023-05-19,741,715,15525.55,9656.72,,12.73,3,0,0,19.8,,-26
184,term,South,home_improvement,2023-09-23,690,646,22429.1,15440.02,,10.51,4,0,1,15.5,,-44
185,revolving,South,home_improvement,2021-10-01,647,605,16352.24,1635.22,2755.41,8.78,11,0,0,39.6,0.593,-42
186,term,North,home_improvement,2023-02-20,639,594,12808.42,9725.11,,11.42,10,0,0,22.7,,-45
187,revolving,North,personal,2023-08-31,683,646,10019.93,5902.34,16515.6,11.85,6,0,0,16.3,0.357,-37
188,term,East,debt_consolidation,2022-07-26,741,759,14558.7,4056.73,,5.5,2,0,0,29.7,,18
189,revolving,North,auto,2023-09-27,620,588,29100.45,20408.53,47056.88,10.38,11,0,0,15.4,0.434,-32
190,term,East,personal,2023-04-27,551,526,15570.33,7701.23,,10.07,18,0,0,20.5,,-25
191,term,South,personal,2023-10-17,655,625,21568.45,16705.63,,9.04,11,0,0,14.7,,-30
192,term,South,home_improvement,2022-03-08,707,660,24600.08,9370.32,,9.03,4,0,0,34.3,,-47
193,term,East,personal,2022-11-22,720,707,12169.97,4143.64,,11.43,8,0,0,25.7,,-13
194,revolving,West,home_improvement,2024-01-30,619,582,29680.73,25813.5,58750.98,4.75,11,0,0,11.2,0.439,-37
195,term,West,auto,2022-08-02,696,665,7889.16,2553.21,,7.53,5,0,0,29.4,,-31
196,term,South,debt_consolidation,2023-08-14,641,612,17980.73,12656.75,,9.36,13,0,0,16.9,,-29
197,revolving,North,auto,2022-01-29,724,704,32038.88,8978.86,22712.02,7.42,1,0,0,35.6,0.395,-20
198,revolving,South,home_improvement,2023-03-02,672,665,48617.95,25568.61,51953.81,8.76,6,0,0,22.4,0.492,-7
199,revolving,West,auto,2024-03-01,730,705,13219.72,10787.8,28854.85,8.0,2,0,0,10.2,0.374,-25
200,revolving,North,personal,2021-05-06,684,639,6851.95,3799.54,11222.52,12.17,13,1,0,44.5,0.339,-45
201,term,South,personal,2021-01-25,710,685,31730.03,3173.0,,9.02,5,0,0,47.9,,-25
202,term,South,home_improvement,2023-08-19,653,641,20579.58,12080.12,,14.21,11,0,0,16.7,,-12
203,revolving,West,auto,2021-07-08,637,610,7204.43,720.44,1426.57,9.02,13,0,0,42.4,0.505,-27
204,term,North,personal,2023-12-29,662,633,27485.99,17973.55,,12.3,12,0,1,12.3,,-29
205,term,North,personal,2022-03-29,716,670,36636.93,11649.57,,10.7,2,0,0,33.6,,-46
206,term,West,auto,2023-12-07,831,832,58599.7,42162.53,,13.33,0,0,0,13.0,,1
207,term,West,debt_consolidation,2021-10-10,755,760,42172.51,7200.91,,8.06,2,0,0,39.3,,5
208,revolving,East,personal,2022-12-03,771,757,10490.64,3481.96,9695.5,9.68,0,0,0,25.3,0.359,-14
209,term,East,debt_consolidation,2022-08-06,673,650,18941.86,12788.39,,5.1,10,0,0,29.3,,-23
210,term,North,auto,2022-07-15,647,623,5644.24,2360.76,,4.72,10,0,0,30.0,,-24
211,term,West,personal,2021-11-13,547,511,19080.79,2905.94,,11.59,19,0,0,38.2,,-36
212,revolving,West,auto,2023-05-06,644,597,17903.37,13627.29,37371.72,6.82,8,0,0,20.2,0.365,-47
213,term,North,home_improvement,2021-12-09,597,549,14138.2,1413.82,,12.02,12,0,0,37.3,,-48
214,term,East,personal,2022-04-01,726,704,11934.1,1193.41,,8.89,8,0,0,33.5,,-22
215,term,North,debt_consolidation,2024-12-08,668,617,6047.97,5947.92,,11.73,4,0,0,0.8,,-51
216,revolving,South,personal,2024-11-24,600,581,22895.12,22497.63,39422.32,11.43,18,0,1,1.3,0.571,-19
217,term,West,auto,2021-12-14,712,669,11428.94,1436.71,,3.0,3,1,0,37.1,,-43
218,term,West,home_improvement,2024-05-01,699,696,23184.74,18530.47,,8.14,3,0,0,8.2,,-3
219,term,South,personal,2023-01-25,611,583,5552.11,3903.79,,5.87,15,1,0,23.6,,-28
220,term,West,auto,2024-08-10,770,735,7707.08,7036.14,,3.0,1,0,0,4.8,,-35
221,revolving,West,home_improvement,2023-05-14,634,578,17573.28,7353.39,16349.13,6.98,11,0,0,19.9,0.45,-56
222,term,West,auto,2021-09-12,715,707,22703.46,2270.35,,4.08,11,0,0,40.2,,-8
223,term,East,auto,2021-04-03,672,641,5438.12,543.81,,8.9,8,0,0,45.6,,-31
224,term,South,home_improvement,2022-07-25,778,744,10291.96,2993.7,,6.73,0,0,0,29.7,,-34
225,revolving,West,auto,2024-03-16,735,750,15592.17,13700.51,23268.89,10.52,2,0,0,9.7,0.589,15
226,revolving,West,personal,2021-09-22,614,590,8242.28,1145.97,2364.09,9.27,13,0,0,39.9,0.485,-24
227,term,West,personal,2022-08-31,789,775,39293.42,11510.54,,11.74,0,0,0,28.5,,-14
228,term,South,debt_consolidation,2023-05-13,603,554,16533.39,11547.62,,11.58,15,0,0,20.0,,-49
229,term,West,home_improvement,2022-12-10,616,594,23502.05,8552.65,,11.52,15,0,0,25.1,,-22
230,term,West,personal,2023-03-02,777,759,20959.43,10598.08,,9.92,0,0,0,22.4,,-18
231,term,West,home_improvement,2023-05-28,678,646,3870.22,2744.21,,7.97,5,0,0,19.5,,-32
232,term,East,auto,2022-11-26,698,686,23977.43,12186.68,,7.53,4,0,0,25.6,,-12
233,term,South,home_improvement,2021-03-26,705,671,5342.33,534.23,,6.94,5,0,0,45.9,,-34
234,term,East,debt_consolidation,2023-02-27,615,576,48191.28,35969.12,,8.4,13,1,0,22.5,,-39
235,term,South,personal,2023-05-27,792,789,30338.26,15818.16,,11.64,0,1,0,19.5,,-3
236,revolving,North,personal,2021-02-26,811,803,8110.37,811.04,1918.77,11.91,0,0,0,46.8,0.423,-8
237,revolving,South,home_improvement,2023-07-05,567,523,3462.64,2561.23,4651.84,4.42,18,0,1,18.2,0.551,-44
238,revolving,East,debt_consolidation,2022-01-15,653,656,23224.98,14144.68,40973.03,9.58,11,0,0,36.1,0.345,3
239,term,South,debt_consolidation,2021-07-24,720,710,21358.38,2135.84,,9.2,2,0,0,41.9,,-10
240,term,West,personal,2022-11-05,673,631,14613.28,9290.22,,5.84,13,0,0,26.3,,-42
241,revolving,East,home_improvement,2024-04-19,647,608,5077.23,3840.16,8013.23,11.28,10,1,0,8.6,0.479,-39
242,term,East,debt_consolidation,2022-03-13,713,682,9364.67,1195.63,,14.78,3,0,0,34.2,,-31
243,revolving,East,debt_consolidation,2024-09-22,719,701,17989.46,16470.92,46424.96,7.7,4,0,0,3.4,0.355,-18
244,term,South,personal,2022-07-29,781,778,19390.16,4154.11,,8.89,0,0,0,29.6,,-3
245,revolving,North,debt_consolidation,2021-06-07,575,560,42287.86,14362.3,27831.04,10.58,20,0,1,43.5,0.516,-15
246,term,West,debt_consolidation,2021-07-15,619,560,14598.84,1459.88,,16.44,14,0,0,42.2,,-59
247,term,South,home_improvement,2023-01-29,634,605,22402.28,16174.03,,11.69,12,0,1,23.4,,-29
248,revolving,North,personal,2021-06-14,823,808,6946.24,694.62,2034.05,7.03,0,0,0,43.2,0.341,-15
249,revolving,West,personal,2022-07-05,770,764,20919.82,5227.73,9130.3,6.71,0,0,0,30.4,0.573,-6
250,term,East,home_improvement,2023-11-26,696,683,5716.76,4801.21,,9.01,6,0,0,13.4,,-13
251,term,North,personal,2022-10-17,674,661,28711.01,19675.32,,8.77,11,0,0,26.9,,-13
252,revolving,East,personal,2022-11-07,706,679,11436.08,7561.22,12182.95,11.31,7,0,0,26.2,0.621,-27
253,term,East,debt_consolidation,2023-05-14,750,752,11923.34,9198.73,,9.0,1,0,0,19.9,,2
254,revolving,East,auto,2023-11-06,664,625,2950.57,1929.98,4779.95,9.65,10,0,0,14.1,0.404,-39
255,term,South,auto,2023-01-17,696,695,12062.3,7836.4,,6.74,7,0,0,23.8,,-1
256,revolving,West,debt_consolidation,2023-01-17,659,647,30932.42,9260.13,14726.01,8.57,12,1,0,23.8,0.629,-12
257,term,West,debt_consolidation,2023-10-21,596,546,6432.69,4556.72,,10.47,15,0,0,14.6,,-50
